player,pos,club,cat,age,band,pick,live,K,d_live_K,P,d_K_P,R,d_P_R,candidate,d_R_cand,d_live_cand,d_K_cand
Joseph Fonti,SD,GWS,,22,6,44,596,480,-116,464,-16,467,3,498,31,-98,18
Lachlan Smith,RUCK,Western Bulldogs,,21,6,47,399,301,-98,289,-12,289,0,320,31,-79,19
Liam Reidy,KPF,Carlton,,26,7,4,329,230,-99,230,0,200,-30,231,31,-98,1
Ryan Angwin,MID,GWS,,24,3,19,483,487,4,487,0,341,-146,372,31,-111,-115
Isaac Kako,SF,Essendon,Next Gen,20,3,13,1413,832,-581,784,-48,784,0,754,-30,-659,-78
Isaac Keeler,KPF,St Kilda,,22,6,44,173,155,-18,128,-27,128,0,157,29,-16,2
Max Heath,KPF,Melbourne,,24,7,7,682,447,-235,447,0,400,-47,429,29,-253,-18
Oliver Hannaford,MID,GWS,,20,3,18,398,357,-41,229,-128,291,62,262,-29,-136,-95
Alix Tauru,KPF,St Kilda,,20,2,10,1684,881,-803,935,54,935,0,907,-28,-777,26
Dylan Patterson,SD,Gold Coast,Academy,19,1,5,1628,1440,-188,955,-485,1189,234,1217,28,-411,-223
Josh Goater,SD,North Melbourne,,23,4,22,93,87,-6,63,-24,63,0,91,28,-2,4
Noah Long,SF,West Coast,,22,7,57,124,78,-46,78,0,78,0,50,-28,-74,-28
Tom Gross,SF,West Coast,,20,6,46,460,434,-26,441,7,446,5,418,-28,-42,-16
Caleb Graham,KPD,Gold Coast,Academy,26,7,71,54,82,28,82,0,93,11,66,-27,12,-16
Hugh Boxshall,MID,St Kilda,,20,6,45,965,636,-329,674,38,697,23,670,-27,-295,34
Louis Emmett,RUCK,Western Bulldogs,,19,4,27,749,627,-122,454,-173,533,79,560,27,-189,-67
Mani Liddy,MID,Port Adelaide,,24,7,15,152,122,-30,122,0,50,-72,77,27,-75,-45
Zane Duursma,SF,North Melbourne,,21,1,4,815,629,-186,194,-435,257,63,284,27,-531,-345
Cody Weightman,SF,Western Bulldogs,,25,3,15,153,184,31,184,0,167,-17,141,-26,-12,-43
Joe Berry,SF,Port Adelaide,,20,3,15,1259,1001,-258,982,-19,1002,20,1028,26,-231,27
Lucas Camporeale,MID,Carlton,Father-Son,20,7,54,159,283,124,272,-11,272,0,246,-26,87,-37
Leek Aleer,KPD,GWS,,25,3,15,231,285,54,285,0,180,-105,205,25,-26,-80
Bailey Laurie,SF,Melbourne,,24,4,23,56,96,40,96,0,31,-65,55,24,-1,-41
Billy Cootee,MID,Sydney,,24,6,42,264,232,-32,232,0,138,-94,162,24,-102,-70
Christian Moraes,SF,Port Adelaide,,20,6,38,906,584,-322,506,-78,519,13,543,24,-363,-41
Kane McAuliffe,MID,Richmond,,21,6,40,1312,923,-389,1012,89,1012,0,1036,24,-276,113
Oscar Adams,KPD,Gold Coast,,23,7,51,79,115,36,50,-65,55,5,79,24,0,-36
Rhys Unwin,SF,Essendon,,20,7,61,91,163,72,134,-29,143,9,119,-24,28,-44
Samuel Swadling,MID,Collingwood,,19,6,37,776,682,-94,773,91,773,0,749,-24,-27,67
Sandy Brock,KPD,West Coast,,24,7,,173,130,-43,130,0,154,24,130,-24,-43,0
Will Setterfield,MID,Essendon,Academy,28,1,5,559,664,105,664,0,569,-95,593,24,34,-71
Darcy Parish,MID,Essendon,,29,1,5,562,594,32,594,0,594,0,571,-23,9,-23
Jack Lukosius,KPF,Port Adelaide,,26,0,2,462,503,41,503,0,472,-31,449,-23,-13,-54
Oscar Allen,KPF,West Coast,,27,4,21,100,125,25,125,0,125,0,102,-23,2,-23
Tom Doedee,SD,Brisbane,,29,3,17,228,233,5,233,0,234,1,211,-23,-17,-22
Tyler Sonsie,SF,Richmond,,23,5,28,1095,958,-137,853,-105,858,5,881,23,-214,-77
Will Hayes,SF,Collingwood,,20,7,56,378,220,-158,207,-13,207,0,184,-23,-194,-36
Zach Reid,KPD,Essendon,,24,2,10,1093,957,-136,957,0,892,-65,869,-23,-224,-88
Zane Zakostelsky,KPD,Brisbane,,21,7,51,209,256,47,259,3,259,0,282,23,73,26
Lachie Jaques,SD,Western Bulldogs,,20,5,29,725,483,-242,583,100,586,3,608,22,-117,125
Tom Brown,SD,Richmond,,23,3,17,493,515,22,420,-95,425,5,447,22,-46,-68
Tom Sparrow,SF,Melbourne,,26,4,27,1632,1522,-110,1522,0,1500,-22,1522,22,-110,0
Aidan Schubert,KPF,Hawthorn,,19,4,23,481,630,149,546,-84,581,35,560,-21,79,-70
Cooper Duff-Tytler,KPF,West Coast,,19,1,4,1561,1505,-56,1824,319,1824,0,1845,21,284,340
Harrison Oliver,SD,GWS,,20,3,19,528,463,-65,314,-149,373,59,352,-21,-176,-111
Jacob Hopper,MID,Richmond,Academy,29,1,7,101,87,-14,87,0,85,-2,64,-21,-37,-23
James Peatling,MID,Adelaide,,26,7,8,1098,1145,47,1145,0,1126,-19,1147,21,49,2
Matt Johnson,MID,Fremantle,,23,4,21,1131,1039,-92,961,-78,964,3,985,21,-146,-54
Riley Hardeman,SD,North Melbourne,,21,4,23,258,287,29,183,-104,192,9,213,21,-45,-74
Adam Cerra,MID,Carlton,,27,1,5,1030,1030,0,1030,0,1025,-5,1005,-20,-25,-25
Balyn O'Brien,SD,Port Adelaide,,19,7,,383,346,-37,297,-49,316,19,296,-20,-87,-50
Brodie Kemp,KPF,Carlton,,25,3,17,680,662,-18,662,0,639,-23,619,-20,-61,-43
George Wardlaw,MID,North Melbourne,,22,1,4,3235,3085,-150,2914,-171,2974,60,2954,-20,-281,-131
Jack Ough,MID,GWS,,20,6,36,687,460,-227,389,-71,401,12,381,-20,-306,-79
Josh Ward,MID,Hawthorn,,23,1,7,2817,2576,-241,2510,-66,2546,36,2566,20,-251,-10
Judson Clarke,SF,Richmond,,23,5,30,90,41,-49,34,-7,35,1,55,20,-35,14
Liam Puncher,KPD,Collingwood,,23,7,15,124,193,69,122,-71,140,18,160,20,36,-33
Archer Reid,KPF,West Coast,,21,5,30,762,382,-380,328,-54,328,0,347,19,-415,-35
Ashton Moir,SF,Carlton,,21,5,29,214,226,12,219,-7,221,2,202,-19,-12,-24
Elijah Hewett,MID,West Coast,,22,3,14,730,595,-135,431,-164,439,8,458,19,-272,-137
Jacob Newton,SF,West Coast,,20,7,8,299,232,-67,193,-39,202,9,183,-19,-116,-49
Riley Bice,SD,Sydney,,26,6,41,274,269,-5,269,0,285,16,304,19,30,35
Tom Cochrane,SF,Port Adelaide,,20,7,5,230,243,13,208,-35,214,6,195,-19,-35,-48
Ben Jepson,MID,Gold Coast,,25,7,,222,103,-119,103,0,69,-34,51,-18,-171,-52
Cameron Mackenzie,MID,Hawthorn,,22,1,7,2251,2027,-224,1852,-175,1924,72,1942,18,-309,-85
Cooper Lord,MID,Carlton,,21,7,9,1345,1018,-327,1070,52,1070,0,1052,-18,-293,34
Dylan Stephens,MID,North Melbourne,,25,1,5,620,687,67,687,0,530,-157,548,18,-72,-139
Jye Amiss,KPF,Fremantle,,23,2,8,1495,1427,-68,1379,-48,1381,2,1399,18,-96,-28
Lewis Young,KPF,Carlton,,28,7,49,116,130,14,130,0,131,1,113,-18,-3,-17
Logan McDonald,KPF,Sydney,,24,1,4,693,736,43,736,0,650,-86,632,-18,-61,-104
Tew Jiath,SD,Collingwood,,21,6,37,167,125,-42,109,-16,117,8,99,-18,-68,-26
Conor Stone,SD,GWS,,24,3,15,76,218,142,218,0,51,-167,68,17,-8,-150
Henry Hustwaite,MID,Hawthorn,,22,6,37,235,235,0,147,-88,169,22,152,-17,-83,-83
Braeden Campbell,SF,Sydney,Academy,24,1,5,403,419,16,419,0,325,-94,341,16,-62,-78
Darcy Fort,RUCK,Geelong,,33,7,65,16,170,154,170,0,104,-66,88,-16,72,-82
Keidean Coleman,SD,Brisbane,Academy,26,6,36,754,673,-81,673,0,674,1,658,-16,-96,-15
Liam Fawcett,KPF,Richmond,,21,6,43,454,258,-196,221,-37,222,1,238,16,-216,-20
Luke Pedlar,SF,Adelaide,,24,2,11,112,217,105,217,0,50,-167,66,16,-46,-151
Tom Anastasopoulos,SF,Port Adelaide,,21,6,48,173,181,8,180,-1,180,0,196,16,23,15
Thomas Burton,MID,Richmond,,19,7,,439,323,-116,321,-2,321,0,305,-16,-134,-18
Alex Dodson,KPF,St Kilda,,20,7,53,274,198,-76,176,-22,188,12,173,-15,-101,-25
Jack Watkins,SF,Port Adelaide,,26,7,3,130,72,-58,72,0,38,-34,53,15,-77,-19
Jasper Alger,SF,Richmond,,20,7,58,434,218,-216,226,8,232,6,217,-15,-217,-1
Lucca Grego,SD,West Coast,,20,6,48,124,110,-14,115,5,115,0,100,-15,-24,-10
Lukas Cooke,KPD,Melbourne,,23,7,11,364,298,-66,249,-49,249,0,234,-15,-130,-64
Mitchell Lewis,KPF,Hawthorn,,28,7,75,517,565,48,565,0,567,2,552,-15,35,-13
Reef McInnes,KPD,Collingwood,Next Gen,24,4,24,164,87,-77,87,0,35,-52,50,15,-114,-37
Zak Johnson,SD,Essendon,,20,7,70,730,380,-350,394,14,394,0,409,15,-321,29
Elliott Himmelberg,KPF,Adelaide,,28,7,51,56,61,5,61,0,57,-4,43,-14,-13,-18
Finnbar Maley,KPF,Adelaide,,23,7,2,192,175,-17,152,-23,153,1,167,14,-25,-8
Isaac Cumming,MID,Adelaide,Academy,28,3,20,41,54,13,54,0,44,-10,30,-14,-11,-24
Jacob Konstanty,SF,North Melbourne,,22,3,20,181,116,-65,51,-65,56,5,70,14,-111,-46
Luke Nankervis,MID,Adelaide,,23,7,1,384,316,-68,327,11,327,0,313,-14,-71,-3
Roan Steele,MID,Collingwood,,25,7,7,152,118,-34,118,0,35,-83,49,14,-103,-69
Scott Pendlebury,MID,Collingwood,,39,1,5,353,381,28,381,0,381,0,367,-14,14,-14
Sean Darcy,RUCK,Fremantle,,28,6,38,734,703,-31,703,0,703,0,689,-14,-45,-14
Toby Murray,KPF,Adelaide,,23,7,7,215,196,-19,187,-9,187,0,201,14,-14,5
Beau Addinsall,MID,Gold Coast,Academy,19,3,18,1521,1158,-363,1297,139,1297,0,1310,13,-211,152
Jack Scrimshaw,SD,Hawthorn,,28,1,7,89,128,39,128,0,117,-11,104,-13,15,-24
Jack Whitlock,KPF,Port Adelaide,,20,5,33,1271,937,-334,981,44,981,0,994,13,-277,57
Jake Stringer,SF,GWS,,32,1,7,103,126,23,126,0,123,-3,110,-13,7,-16
Jye Caldwell,MID,Essendon,,26,2,11,979,972,-7,972,0,973,1,960,-13,-19,-12
Liam Duggan,SD,West Coast,,30,2,12,210,233,23,233,0,218,-15,231,13,21,-2
Nate Caddy,KPF,Essendon,,21,2,10,1862,1607,-255,1586,-21,1590,4,1577,-13,-285,-30
Oliver Florent,SD,Carlton,,28,2,11,732,719,-13,719,0,701,-18,714,13,-18,-5
Saad El-Hawli,SD,Essendon,,25,7,13,118,71,-47,71,0,28,-43,41,13,-77,-30
Samson Ryan,RUCK,Richmond,Academy,26,6,42,302,252,-50,252,0,199,-53,212,13,-90,-40
Arthur Jones,SF,Western Bulldogs,,23,6,43,92,90,-2,54,-36,54,0,66,12,-26,-24
Bailey Scott,MID,North Melbourne,,26,7,49,23,20,-3,20,0,20,0,8,-12,-15,-12
Bodie Ryan,SD,Hawthorn,,21,6,46,210,136,-74,124,-12,128,4,140,12,-70,4
Charlie Comben,KPD,North Melbourne,,25,5,31,809,724,-85,724,0,711,-13,699,-12,-110,-25
Harrison Jones,KPF,Essendon,,25,5,30,172,202,30,202,0,149,-53,137,-12,-35,-65
Henry Smith,KPF,Brisbane,,24,7,50,82,93,11,93,0,78,-15,90,12,8,-3
Jakob Ryan,SD,Collingwood,,22,5,28,239,176,-63,141,-35,161,20,149,-12,-90,-27
Mitch Podhajski,KPF,Collingwood,,27,7,17,399,139,-260,139,0,110,-29,98,-12,-301,-41
Oscar Steene,KPF,Collingwood,,23,7,,468,323,-145,334,11,334,0,346,12,-122,23
Sam Sturt,SF,Fremantle,,26,3,17,50,75,25,75,0,19,-56,31,12,-19,-44
Steele Sidebottom,MID,Collingwood,,36,2,11,96,20,-76,20,0,20,0,8,-12,-88,-12
Tom Blamires,SD,North Melbourne,,24,7,,139,111,-28,111,0,123,12,135,12,-4,24
Will Lewis,KPF,Western Bulldogs,,27,7,,139,67,-72,67,0,47,-20,59,12,-80,-8
Xavier Duursma,MID,Essendon,,26,3,18,143,175,32,175,0,157,-18,145,-12,2,-30
Ben Ainsworth,SF,Carlton,,28,1,4,204,262,58,262,0,221,-41,210,-11,6,-52
Billy Wilson,SD,Carlton,,21,5,34,983,664,-319,767,103,767,0,756,-11,-227,92
Darcy Moore,KPD,Collingwood,Father-Son,30,2,8,141,151,10,151,0,151,0,140,-11,-1,-11
Harry Edwards,KPD,West Coast,,26,7,12,104,111,7,111,0,100,-11,89,-11,-15,-22
Harvey Harrison,SF,Collingwood,,23,7,52,50,43,-7,31,-12,31,0,42,11,-8,-1
Jesse Motlop,SF,Carlton,,23,4,27,90,94,4,63,-31,65,2,54,-11,-36,-40
Jordan Ridley,SD,Essendon,,28,4,22,695,662,-33,662,0,662,0,651,-11,-44,-11
Kaleb Smith,SD,Richmond,,22,7,49,67,48,-19,37,-11,39,2,50,11,-17,2
Lachlan Blakiston,KPD,Essendon,,28,7,12,152,87,-65,87,0,27,-60,38,11,-114,-49
Luker Kentfield,KPF,Melbourne,,21,7,11,419,298,-121,274,-24,280,6,291,11,-128,-7
Oscar McDonald,KPD,Fremantle,,30,7,53,68,84,16,84,0,80,-4,69,-11,1,-15
Sam De Koning,KPD,Geelong,,25,3,19,936,861,-75,861,0,860,-1,849,-11,-87,-12
Toby Pink,KPD,North Melbourne,,28,7,33,31,59,28,59,0,28,-31,39,11,8,-20
Tom De Koning,RUCK,St Kilda,,27,5,30,1830,1688,-142,1688,0,1688,0,1677,-11,-153,-11
Tom Hanily,SF,Sydney,,21,7,14,216,144,-72,131,-13,133,2,144,11,-72,0
Willem Duursma,MID,West Coast,,19,0,1,3977,3703,-274,3920,217,4236,316,4225,-11,248,522
Brayden Fiorini,MID,Essendon,,29,3,20,167,198,31,198,0,190,-8,180,-10,13,-18
Brody Mihocek,KPF,Melbourne,,33,7,14,10,43,33,43,0,40,-3,30,-10,20,-13
Cooper Sharman,KPF,St Kilda,,26,7,18,429,426,-3,426,0,408,-18,418,10,-11,-8
Corey Warner,SF,Sydney,,23,6,40,49,104,55,33,-71,33,0,43,10,-6,-61
Harry Perryman,SD,Collingwood,Academy,28,3,14,68,81,13,81,0,81,0,71,-10,3,-10
Jed Adams,KPD,Melbourne,,22,6,38,154,229,75,204,-25,211,7,221,10,67,-8
Lachlan Fogarty,SF,Carlton,,27,4,22,35,71,36,71,0,57,-14,47,-10,12,-24
Lachlan Jones,SD,Port Adelaide,Next Gen,24,3,16,125,153,28,153,0,92,-61,102,10,-23,-51
Luke Trainor,SD,Richmond,,20,4,21,1551,972,-579,1018,46,1018,0,1008,-10,-543,36
Matt Carroll,SD,Carlton,,21,7,7,1014,570,-444,609,39,609,0,619,10,-395,49
Max Ramsden,KPF,Hawthorn,,23,7,6,257,194,-63,189,-5,189,0,199,10,-58,5
Nick Larkey,KPF,North Melbourne,,28,7,72,455,524,69,524,0,520,-4,510,-10,55,-14
Robert Hansen,SF,North Melbourne,,22,7,2,132,72,-60,37,-35,40,3,50,10,-82,-22
Sam Davidson,SF,Western Bulldogs,,25,7,51,80,103,23,103,0,83,-20,73,-10,-7,-30
Xavier Bamert,MID,Port Adelaide,,19,7,5,509,414,-95,395,-19,401,6,411,10,-98,-3
Aaron Naughton,KPF,Western Bulldogs,,27,2,9,1166,1116,-50,1116,0,1116,0,1107,-9,-59,-9
Blake Howes,SD,Melbourne,,23,6,39,272,212,-60,197,-15,197,0,206,9,-66,-6
Campbell Chesser,MID,Carlton,,23,3,14,330,333,3,167,-166,186,19,195,9,-135,-138
Cody Curtin,KPF,Brisbane,,19,6,43,427,440,13,400,-40,400,0,391,-9,-36,-49
Griffin Logue,KPD,North Melbourne,,28,2,8,78,120,42,120,0,94,-26,85,-9,7,-35
Hunter Clark,MID,St Kilda,,27,1,7,50,66,16,66,0,30,-36,21,-9,-29,-45
Jack Buller,KPF,Collingwood,,25,7,11,94,72,-22,72,0,36,-36,45,9,-49,-27
Jack Carroll,SD,St Kilda,,24,6,43,80,78,-2,78,0,46,-32,55,9,-25,-23
Jack Martin,SF,Geelong,,32,0,3,107,37,-70,37,0,21,-16,12,-9,-95,-25
James Trezise,SD,Richmond,,24,7,10,118,147,29,147,0,99,-48,108,9,-10,-39
Josh Lai,SD,Port Adelaide,,21,7,,597,315,-282,350,35,355,5,364,9,-233,49
Lachlan Sholl,MID,Adelaide,,26,7,64,137,128,-9,128,0,129,1,120,-9,-17,-8
Mitch Zadow,SF,Port Adelaide,,22,7,,139,87,-52,75,-12,75,0,84,9,-55,-3
Nick Bryan,RUCK,Essendon,,25,6,37,778,718,-60,718,0,574,-144,583,9,-195,-135
Noah Balta,KPF,Richmond,,27,4,25,418,412,-6,412,0,409,-3,400,-9,-18,-12
Riley Garcia,SF,Western Bulldogs,,25,7,61,47,41,-6,41,0,41,0,50,9,3,9
Tom Edwards,KPF,Essendon,,26,7,,108,79,-29,79,0,57,-22,66,9,-42,-13
Tylar Young,KPD,West Coast,,28,7,9,279,258,-21,258,0,241,-17,250,9,-29,-8
Zac Taylor,SF,Adelaide,,23,6,44,207,157,-50,140,-17,140,0,149,9,-58,-8
Anthony Caminiti,KPF,St Kilda,,23,7,,1110,861,-249,863,2,863,0,855,-8,-255,-6
Archie Perkins,SF,Essendon,,24,2,9,239,224,-15,224,0,200,-24,192,-8,-47,-32
Brennan Cox,KPD,Fremantle,,28,6,41,259,255,-4,255,0,255,0,247,-8,-12,-8
Caleb Windsor,SD,Melbourne,,21,1,7,1784,1307,-477,1093,-214,1137,44,1145,8,-639,-162
Charlie Ballard,KPD,Gold Coast,,27,6,42,45,52,7,52,0,52,0,44,-8,-1,-8
Dion Prestia,SF,Richmond,,34,2,9,251,258,7,258,0,258,0,250,-8,-1,-8
