player,pos,v_before,v_after,delta,pct,rank_before,rank_after,rank_move,cause
Flynn Riley,RUCK,578,364,-214,-37.0,347,458,-111,stageB_engine; stageB_curve_pool
Caleb Windsor,MID,1559,1765,206,13.2,163,151,12,stage_A; stageB_engine
Lachy Dovaston,SF,859,1061,202,23.5,269,239,30,stage_A; stageB_engine
Aiden Riddle,RUCK,449,255,-194,-43.2,403,544,-141,stageB_curve_pool
Joe Pike,RUCK,449,255,-194,-43.2,405,546,-141,stageB_curve_pool
Logan Smith,RUCK,445,255,-190,-42.7,406,547,-141,stageB_engine; stageB_curve_pool
Luke Parker,MID,1485,1670,185,12.5,171,159,12,stage_A; stageB_engine
Max Holmes,MID,7268,7452,184,2.5,5,5,0,stage_A; stageB_engine
Tristan Xerri,RUCK,7231,7414,183,2.5,6,6,0,stageB_engine
Jaime Uhr-Henry,RUCK,437,255,-182,-41.6,409,545,-136,stageB_engine; stageB_curve_pool
Liam Reidy,RUCK,361,543,182,50.4,458,371,87,stageB_engine; stageB_curve_pool
Vigo Visentini,RUCK,417,237,-180,-43.2,418,566,-148,stageB_curve_pool
Mattaes Phillipou,MID,2290,2462,172,7.5,94,91,3,stage_A; stageB_engine
Iliro Smit,RUCK,399,237,-162,-40.6,433,565,-132,stageB_engine; stageB_curve_pool
Zak Butters,MID,6313,6473,160,2.5,7,7,0,stage_A; stageB_engine
Will Ashcroft,MID,6223,6380,157,2.5,8,8,0,stage_A; stageB_engine
Daniel Curtin,MID,2452,2609,157,6.4,83,79,4,stage_A; stageB_engine
Mitch McGovern,KPF,238,85,-153,-64.3,555,691,-136,stage_A; stageB_engine
Bailey Smith,MID,5941,6092,151,2.5,10,10,0,stage_A; stageB_engine
Lachlan Ash,SD,5534,5682,148,2.7,11,11,0,stage_A; stageB_engine
Jhye Clark,MID,782,925,143,18.3,287,265,22,stage_A; stageB_engine
Reuben Ginbey,KPD,2599,2458,-141,-5.4,76,92,-16,stage_A; stageB_engine
Finn Callaghan,MID,5454,5592,138,2.5,12,12,0,stage_A; stageB_engine
Sam Cumming,MID,2910,3047,137,4.7,63,63,0,stage_A; stageB_engine
Will Graham,SF,1590,1727,137,8.6,158,154,4,stage_A; stageB_engine
Errol Gulden,MID,5375,5511,136,2.5,13,14,-1,stage_A; stageB_engine
Noah Anderson,MID,5125,5257,132,2.6,15,15,0,stage_A; stageB_engine
Karl Amon,MID,429,561,132,30.8,413,363,50,stage_A; stageB_engine
Jake Lloyd,SD,60,191,131,218.3,711,603,108,stageB_engine
Josh Treacy,KPF,6029,6157,128,2.1,9,9,0,stage_A; stageB_engine
Dyson Sharp,MID,2493,2621,128,5.1,80,78,2,stage_A; stageB_engine
Jack Crisp,SD,719,592,-127,-17.7,302,349,-47,stage_A; stageB_engine
Sam Flanders,MID,2082,2208,126,6.1,110,111,-1,stage_A; stageB_engine
Zeke Uwland,SD,2646,2769,123,4.6,73,71,2,stage_A; stageB_engine
Mitchell Marsh,KPF,582,705,123,21.1,345,315,30,stage_A; stageB_curve_pool
Josh Daicos,MID,2146,2268,122,5.7,102,104,-2,stage_A; stageB_engine
Caleb Serong,MID,4691,4811,120,2.6,18,17,1,stage_A; stageB_engine
Aidan Schubert,KPF,576,696,120,20.8,351,318,33,stage_A; stageB_curve_pool
Tom Green,MID,4565,4682,117,2.6,19,18,1,stage_A; stageB_engine
Brodie Grundy,RUCK,4369,4481,112,2.6,21,22,-1,stageB_engine
Murphy Reid,SF,4193,4305,112,2.7,23,23,0,stage_A; stageB_engine
Josh Worrell,KPD,3894,3783,-111,-2.9,33,37,-4,stage_A; stageB_engine
Tyler Sonsie,MID,1074,1184,110,10.2,225,216,9,stageB_engine
Colby McKercher,MID,3964,4073,109,2.7,28,29,-1,stage_A; stageB_engine
Mark Blicavs,KPD,119,10,-109,-91.6,643,792,-149,stage_A; stageB_engine
Marcus Bontempelli,MID,4171,4278,107,2.6,25,25,0,stage_A; stageB_engine
Jake Bowey,SD,3941,4048,107,2.7,31,31,0,stage_A; stageB_engine
Nick Blakey,SD,3987,4094,107,2.7,27,28,-1,stage_A; stageB_engine
Rory Lobb,KPF,538,431,-107,-19.9,370,417,-47,stage_A; stageB_engine
Jai Newcombe,MID,4180,4286,106,2.5,24,24,0,stage_A; stageB_engine
Dante Visentini,RUCK,1121,1227,106,9.5,214,211,3,stageB_engine
Phoenix Gothard,SF,1858,1963,105,5.7,135,131,4,stage_A; stageB_engine
Finn O'Sullivan,MID,3345,3449,104,3.1,53,51,2,stageB_engine
Sam Darcy,KPF,4827,4929,102,2.1,17,16,1,stage_A; stageB_engine
Bodhi Uwland,SD,3782,3883,101,2.7,36,35,1,stage_A; stageB_engine
Matt Rowell,MID,3945,4046,101,2.6,30,32,-2,stage_A; stageB_engine
Samuel Grlj,MID,2042,2142,100,4.9,114,118,-4,stage_A; stageB_engine
Oliver Florent,MID,667,767,100,15.0,316,297,19,stage_A; stageB_engine
Jordan Clark,SD,3678,3777,99,2.7,39,38,1,stage_A; stageB_engine
Daniel Annable,MID,1791,1890,99,5.5,141,138,3,stage_A; stageB_engine; stageB_curve_pool
Josh Smillie,MID,1177,1276,99,8.4,202,206,-4,stage_A; stageB_curve_pool
Darcy Wilmot,SD,3642,3739,97,2.7,40,40,0,stage_A; stageB_engine
Ed Richards,MID,3749,3845,96,2.6,37,36,1,stage_A; stageB_engine
Leo Lombard,SF,1508,1603,95,6.3,166,167,-1,stage_A; stageB_engine
Mac Andrew,KPD,3960,4054,94,2.4,29,30,-1,stage_A; stageB_engine
Timothy English,RUCK,3682,3776,94,2.6,38,39,-1,stageB_engine
Dayne Zorko,MID,1156,1250,94,8.1,205,209,-4,stage_A; stageB_engine
Tanner Bruhn,MID,2122,2214,92,4.3,106,109,-3,stage_A; stageB_engine
Sam Berry,MID,3611,3702,91,2.5,43,42,1,stage_A; stageB_engine
Isaac Heeney,MID,3547,3637,90,2.5,45,46,-1,stage_A; stageB_engine
Jack Sinclair,SD,3318,3408,90,2.7,55,53,2,stage_A; stageB_engine
Stephen Coniglio,MID,165,255,90,54.5,616,548,68,stageB_engine
Nicholas Martin,MID,3484,3573,89,2.6,46,48,-2,stage_A; stageB_engine
Luke Davies-Uniacke,MID,3462,3550,88,2.5,47,49,-2,stage_A; stageB_engine
Jordan Dawson,MID,3414,3502,88,2.6,49,50,-1,stage_A; stageB_engine
Riley Thilthorpe,KPF,4077,4164,87,2.1,26,26,0,stage_A; stageB_engine
Beau Addinsall,MID,1407,1321,-86,-6.1,181,202,-21,stage_A; stageB_engine
Callum Wilkie,KPD,3614,3699,85,2.4,42,43,-1,stage_A; stageB_engine
Harley Reid,MID,3578,3663,85,2.4,44,45,-1,stage_A; stageB_engine
Marcus Windhager,MID,2105,2189,84,4.0,108,114,-6,stageB_engine
Max Gawn,RUCK,3343,3426,83,2.5,54,52,2,stageB_engine
Marcus Herbert,SD,920,837,-83,-9.0,257,282,-25,stage_A; stageB_engine
Willem Duursma,MID,4416,4498,82,1.9,20,21,-1,stage_A; stageB_engine
Sam Walsh,MID,3214,3296,82,2.6,56,56,0,stage_A; stageB_engine
Daniel Rioli,SD,726,808,82,11.3,299,287,12,stage_A; stageB_engine
Andrew Brayshaw,MID,3107,3187,80,2.6,59,59,0,stage_A; stageB_engine
Max Heath,RUCK,641,720,79,12.3,324,310,14,stageB_engine
Sam Wicks,SF,103,27,-76,-73.8,658,769,-111,stage_A
Logan Morris,KPF,3084,3158,74,2.4,60,60,0,stage_A; stageB_engine
Connor Rozee,MID,2857,2930,73,2.6,67,67,0,stage_A; stageB_engine
Nick Watson,SF,3638,3710,72,2.0,41,41,0,stage_A; stageB_engine
Noah Mraz,KPD,3934,4006,72,1.8,32,33,-1,stage_A; stageB_engine; stageB_curve_pool
Hugo Garcia,MID,2966,3038,72,2.4,62,64,-2,stage_A; stageB_engine
James Jordon,MID,164,236,72,43.9,617,567,50,stageB_engine
Kysaiah Pickett,SF,3872,3943,71,1.8,34,34,0,stage_A; stageB_engine
Will Day,MID,2895,2966,71,2.5,66,66,0,stage_A; stageB_engine
Zachary Merrett,MID,2752,2823,71,2.6,70,70,0,stage_A; stageB_engine
Bailey Humphrey,SF,2324,2394,70,3.0,91,95,-4,stage_A; stageB_engine
Archie Ludowyke,KPF,364,434,70,19.2,454,415,39,stage_A; stageB_curve_pool
Tom Cole,SD,33,102,69,209.1,760,665,95,stage_A; stageB_engine
Zac McCarthy,KPF,354,422,68,19.2,464,422,42,stage_A; stageB_curve_pool
Matt Cottrell,MID,48,116,68,141.7,726,648,78,stageB_engine
Clayton Oliver,MID,2569,2636,67,2.6,77,77,0,stage_A; stageB_engine
Taj Hotton,MID,2178,2245,67,3.1,99,106,-7,stage_A; stageB_engine
Connor O'Sullivan,KPD,2908,2974,66,2.3,64,65,-1,stage_A; stageB_engine
Connor Idun,SD,2424,2490,66,2.7,87,87,0,stage_A; stageB_engine
Koltyn Tholstrup,SD,1605,1671,66,4.1,154,158,-4,stage_A; stageB_engine
Darcy Jones,SF,1428,1494,66,4.6,180,177,3,stage_A; stageB_engine
Jordon Sweet,RUCK,2511,2576,65,2.6,78,81,-3,stageB_engine
Kieren Briggs,RUCK,2480,2544,64,2.6,81,83,-2,stageB_engine
Jake Rogers,SF,583,647,64,11.0,344,330,14,stage_A; stageB_engine
George Wardlaw,MID,3152,3215,63,2.0,57,57,0,stage_A; stageB_engine
Bailey Dale,SD,2376,2439,63,2.7,90,94,-4,stage_A; stageB_engine
Cameron Mackenzie,MID,2001,2064,63,3.1,121,123,-2,stage_A; stageB_engine
Tim Taranto,MID,2403,2465,62,2.6,88,89,-1,stage_A; stageB_engine
Jaspa Fletcher,SD,2622,2683,61,2.3,75,75,0,stageB_engine
Wayne Milera,SD,1942,2003,61,3.1,125,128,-3,stage_A; stageB_engine
Xavier Lindsay,SD,2123,2184,61,2.9,105,115,-10,stage_A; stageB_engine
Lewis Young,KPD,178,239,61,34.3,605,563,42,stageB_engine
Charlie Nicholls,KPF,314,373,59,18.8,492,451,41,stage_A; stageB_curve_pool
Jack Henry,KPD,251,310,59,23.5,542,499,43,stageB_engine
Darcy Wilson,SF,3349,3407,58,1.7,51,54,-3,stage_A; stageB_engine
Harry Dean,KPD,2509,2567,58,2.3,79,82,-3,stageB_engine
Zac Bailey,SF,3149,3207,58,1.8,58,58,0,stage_A; stageB_engine
Lachie Neale,MID,2295,2353,58,2.5,93,98,-5,stage_A; stageB_engine
John Noble,SD,2143,2201,58,2.7,103,112,-9,stage_A; stageB_engine
Levi Ashcroft,MID,3348,3405,57,1.7,52,55,-3,stage_A; stageB_engine
Izak Rankine,SF,3006,3063,57,1.9,61,62,-1,stage_A; stageB_engine
Jase Burgoyne,SD,2224,2281,57,2.6,98,101,-3,stage_A; stageB_engine
Jonty Faull,KPF,1198,1255,57,4.8,199,208,-9,stage_A; stageB_engine
Archer Day-Wicks,SF,484,541,57,11.8,390,372,18,stage_A; stageB_engine
Chayce Jones,SD,110,53,-57,-51.8,652,722,-70,stage_A; stageB_curve_pool
Cooper Duff-Tytler,KPF,1582,1638,56,3.5,159,161,-2,stage_A; stageB_engine
Kayle Gerreyn,KPF,289,345,56,19.4,514,470,44,stage_A; stageB_curve_pool
Toby Nankervis,RUCK,2142,2197,55,2.6,104,113,-9,stageB_engine
Sid Draper,MID,1150,1204,54,4.7,206,214,-8,stage_A; stageB_engine
Louis Emmett,RUCK,916,970,54,5.9,258,258,0,stage_A; stageB_engine
Adam Sweid,SF,545,598,53,9.7,363,347,16,stage_A; stageB_curve_pool
Noah Balta,KPD,516,569,53,10.3,379,358,21,stage_A; stageB_engine
Deven Robertson,MID,194,247,53,27.3,589,556,33,stage_A; stageB_engine
Connor MacDonald,SF,2817,2869,52,1.8,69,69,0,stage_A; stageB_engine
Jacob Van Rooyen,KPF,1899,1951,52,2.7,131,133,-2,stage_A; stageB_engine
Matt Carroll,MID,956,1007,51,5.3,247,253,-6,stage_A; stageB_engine
Tom De Koning,RUCK,2028,2078,50,2.5,115,121,-6,stageB_engine
Latrelle Pickett,SF,580,630,50,8.6,346,337,9,stage_A; stageB_engine
Cooper Trembath,KPF,2090,2140,50,2.4,109,119,-10,stage_A; stageB_engine
Patrick Voss,KPF,1791,1841,50,2.8,142,143,-1,stage_A; stageB_engine
Oliver Hannaford,SF,413,463,50,12.1,423,405,18,stage_A; stageB_engine
Harvey Thomas,SF,2167,2217,50,2.3,101,108,-7,stage_A; stageB_engine
Thomas Matthews,SF,501,551,50,10.0,383,367,16,stage_A; stageB_curve_pool
Shannon Neale,KPF,2308,2357,49,2.1,92,97,-5,stage_A; stageB_engine
James Sicily,SD,1861,1910,49,2.6,134,137,-3,stage_A; stageB_engine
George Hewett,MID,1888,1937,49,2.6,133,134,-1,stage_A; stageB_engine
Kane McAuliffe,MID,1357,1406,49,3.6,189,191,-2,stage_A; stageB_engine
Jack Silvagni,KPF,954,906,-48,-5.0,248,268,-20,stage_A; stageB_engine
Kalani White,KPF,398,446,48,12.1,435,413,22,stage_A; stageB_engine
Tom McCartin,KPD,1984,1937,-47,-2.4,124,135,-11,stage_A; stageB_engine
Patrick Cripps,MID,1834,1881,47,2.6,137,139,-2,stage_A; stageB_engine
Cameron Nairn,SF,737,784,47,6.4,295,292,3,stage_A; stageB_engine; stageB_curve_pool
Hayden Young,MID,2026,2073,47,2.3,116,122,-6,stage_A; stageB_engine
Ryan Maric,MID,1453,1500,47,3.2,175,176,-1,stageB_engine
Matthew Roberts,SD,1995,2042,47,2.4,122,126,-4,stageB_engine
Mitchito Owens,KPF,2010,2056,46,2.3,119,124,-5,stageB_engine
Jack Ginnivan,SF,2458,2504,46,1.9,82,85,-3,stage_A; stageB_engine
Matt Whitlock,KPF,563,609,46,8.2,355,343,12,stage_A; stageB_engine; stageB_curve_pool
Thomas Sims,KPF,1105,1151,46,4.2,217,223,-6,stage_A; stageB_engine
Mitchell Edwards,RUCK,2009,2055,46,2.3,120,125,-5,stageB_engine
Braeden Campbell,SD,331,377,46,13.9,480,450,30,stageB_engine
Shai Bolton,SF,2399,2444,45,1.9,89,93,-4,stage_A; stageB_engine
Lawson Humphries,SD,1927,1972,45,2.3,128,129,-1,stage_A; stageB_engine
Hugh McCluggage,MID,1746,1791,45,2.6,145,147,-2,stage_A; stageB_engine
Ned Moyle,RUCK,2074,2119,45,2.2,111,120,-9,stageB_engine
Jevan Phillipou,SF,449,494,45,10.0,404,392,12,stage_A; stageB_curve_pool
Callum Mills,SD,2228,2272,44,2.0,97,103,-6,stage_A; stageB_engine
Harris Andrews,KPD,1917,1961,44,2.3,129,132,-3,stage_A; stageB_engine
Avery Thomas,SD,538,494,-44,-8.2,369,391,-22,stage_A; stageB_curve_pool
Harvey Langford,MID,2427,2470,43,1.8,86,88,-2,stage_A; stageB_engine
Luke Ryan,SD,1565,1608,43,2.7,161,165,-4,stage_A; stageB_engine
Jesse Dattoli,SF,407,450,43,10.6,427,409,18,stage_A; stageB_curve_pool
Mark Keane,KPD,1777,1819,42,2.4,143,144,-1,stage_A; stageB_engine
Nate Caddy,KPF,1770,1812,42,2.4,144,146,-2,stage_A; stageB_engine
Jack Steele,MID,1647,1689,42,2.6,151,156,-5,stage_A; stageB_engine
Mason Redman,SD,1594,1636,42,2.6,155,162,-7,stage_A; stageB_engine
Jobe Shanahan,KPF,1811,1853,42,2.3,140,142,-2,stage_A; stageB_engine
Joel Jeffrey,SD,1987,2029,42,2.1,123,127,-4,stage_A; stageB_engine
Noah Howes,KPF,306,348,42,13.7,498,469,29,stage_A; stageB_engine
Tyler Welsh,KPF,224,266,42,18.8,560,538,22,stage_A; stageB_curve_pool
Caleb Daniel,SD,1510,1551,41,2.7,165,171,-6,stage_A; stageB_engine
Thomas Liberatore,MID,1566,1607,41,2.6,160,166,-6,stage_A; stageB_engine
Trent Rivers,SD,1718,1759,41,2.4,148,152,-4,stage_A; stageB_engine
Neil Erasmus,MID,1024,1065,41,4.0,231,237,-6,stage_A; stageB_engine
Koby Evans,SF,417,458,41,9.8,417,407,10,stage_A; stageB_curve_pool
Liam Hetherton,KPF,351,392,41,11.7,467,439,28,stage_A; stageB_engine
Cooper Lord,MID,1128,1169,41,3.6,213,219,-6,stage_A; stageB_engine
Jye Amiss,KPF,1713,1753,40,2.3,149,153,-4,stageB_engine
Darcy Cameron,RUCK,1548,1588,40,2.6,164,169,-5,stageB_engine
Bo Allan,SD,1184,1224,40,3.4,201,213,-12,stage_A; stageB_engine
Daniel Turner,KPD,1727,1767,40,2.3,147,149,-2,stage_A; stageB_engine
Tylah Williams,SF,407,447,40,9.8,428,412,16,stage_A; stageB_curve_pool
Tom McCarthy,SD,1594,1633,39,2.4,156,163,-7,stage_A; stageB_engine
Harry McKay,KPF,1833,1872,39,2.1,138,141,-3,stage_A; stageB_engine
Kane Farrell,SD,1453,1492,39,2.7,174,178,-4,stage_A; stageB_engine
Cody Curtin,KPF,664,703,39,5.9,317,316,1,stage_A; stageB_engine; stageB_curve_pool
Joshua Weddle,SD,1651,1689,38,2.3,150,157,-7,stageB_engine
Alix Tauru,KPD,1608,1571,-37,-2.3,153,170,-17,stage_A; stageB_engine
Peter Wright,KPF,1730,1767,37,2.1,146,150,-4,stage_A; stageB_engine
Ollie Dempsey,MID,2174,2211,37,1.7,100,110,-10,stage_A; stageB_engine
Massimo D'Ambrosio,MID,1632,1669,37,2.3,152,160,-8,stageB_engine
Josh Rachele,SF,2114,2150,36,1.7,107,117,-10,stage_A; stageB_engine
Gryan Miers,SF,1928,1964,36,1.9,127,130,-3,stage_A; stageB_engine
Jayden Short,SD,1270,1306,36,2.8,195,205,-10,stage_A; stageB_engine
Josh Dunkley,MID,1395,1431,36,2.6,184,187,-3,stage_A; stageB_engine
Harry Armstrong,KPF,995,1031,36,3.6,243,247,-4,stage_A; stageB_engine
Josh Dolan,SF,465,501,36,7.7,400,388,12,stage_A; stageB_engine
Leon Kickett,SF,370,406,36,9.7,453,433,20,stage_A; stageB_engine
Angus Anderson,MID,204,240,36,17.6,574,560,14,stage_A; stageB_engine
Nick Madden,RUCK,1897,1932,35,1.8,132,136,-4,stageB_engine
Lloyd Meek,RUCK,1441,1476,35,2.4,179,182,-3,stageB_engine
Zane Peucker,SF,598,633,35,5.9,338,335,3,stage_A; stageB_engine; stageB_curve_pool
William McCabe,KPF,740,775,35,4.7,294,295,-1,stage_A; stageB_engine; stageB_curve_pool
Elijah Tsatas,MID,1327,1362,35,2.6,191,197,-6,stage_A; stageB_engine
Ty Gallop,KPF,1563,1598,35,2.2,162,168,-6,stage_A; stageB_engine
Jay Polkinghorne,SF,338,373,35,10.4,474,452,22,stage_A; stageB_engine; stageB_curve_pool
Harrison Petty,KPD,191,226,35,18.3,592,570,22,stageB_engine
Aaron Cadman,KPF,1842,1876,34,1.8,136,140,-4,stage_A; stageB_engine
Thomas Stewart,SD,1237,1271,34,2.7,197,207,-10,stage_A; stageB_engine
Cooper Hynes,MID,1272,1306,34,2.7,194,204,-10,stage_A; stageB_engine
Ned Bowman,SF,357,391,34,9.5,461,441,20,stage_A; stageB_curve_pool
Christian Moraes,MID,950,984,34,3.6,249,256,-7,stageB_engine
Logan Evans,SD,1472,1506,34,2.3,172,175,-3,stageB_engine
Xavier Bamert,SF,436,470,34,7.8,412,403,9,stage_A; stageB_engine
Jasper Alger,SF,361,395,34,9.4,457,437,20,stage_A; stageB_engine
Mitch Georgiades,KPF,1488,1521,33,2.2,170,174,-4,stage_A; stageB_engine
Charlie Curnow,KPF,1593,1626,33,2.1,157,164,-7,stage_A; stageB_engine
Zach Reid,KPD,1401,1434,33,2.4,182,185,-3,stage_A; stageB_engine
Aaron Naughton,KPF,1449,1482,33,2.3,176,179,-3,stageB_engine
Dane Rampe,KPD,35,2,-33,-94.3,755,800,-45,stage_A
Lachlan McAndrew,RUCK,1400,1432,32,2.3,183,186,-3,stageB_engine
Hugo Mikunda,SF,330,362,32,9.7,481,459,22,stage_A; stageB_curve_pool
Noah Roberts-Thomson,SF,437,469,32,7.3,410,404,6,stage_A; stageB_engine; stageB_curve_pool
Henry Smith,KPF,165,197,32,19.4,613,600,13,stage_A; stageB_curve_pool
Josh Lindsay,SD,2432,2463,31,1.3,85,90,-5,stage_A; stageB_engine
Sam Taylor,KPD,1448,1479,31,2.1,177,181,-4,stage_A; stageB_engine
Hussien El Achkar,SF,461,492,31,6.7,401,394,7,stage_A; stageB_engine
Jarman Impey,SD,1104,1134,30,2.7,218,226,-8,stage_A; stageB_engine
Jake Waterman,KPF,1391,1421,30,2.2,187,188,-1,stage_A; stageB_engine
Jacob Moss,KPF,263,293,30,11.4,534,509,25,stage_A; stageB_engine
Patrick Retschko,MID,1318,1348,30,2.3,192,199,-7,stageB_engine
Oliver Henry,SF,91,121,30,33.0,675,644,31,stage_A; stageB_engine
Seth Campbell,SF,1095,1124,29,2.6,222,230,-8,stage_A; stageB_engine
Brayden George,SF,308,337,29,9.4,496,480,16,stage_A; stageB_curve_pool
Jacob Newton,SF,195,224,29,14.9,587,571,16,stage_A; stageB_engine
Bailey Banfield,SF,42,13,-29,-69.0,737,786,-49,stage_A; stageB_engine
Josh Ward,MID,2721,2749,28,1.0,71,72,-1,stage_A; stageB_engine
Andrew McGrath,SD,1132,1160,28,2.5,212,221,-9,stage_A; stageB_engine
Zane Duursma,SF,751,779,28,3.7,292,294,-2,stage_A; stageB_engine
Jacob Weitering,KPD,1204,1232,28,2.3,198,210,-12,stage_A; stageB_engine
James Peatling,MID,1441,1469,28,1.9,178,183,-5,stage_A; stageB_engine
Sam Banks,SD,1197,1225,28,2.3,200,212,-12,stageB_engine
Christian Salem,SD,541,569,28,5.2,367,357,10,stage_A; stageB_engine
Zak Johnson,SD,616,644,28,4.5,330,333,-3,stage_A; stageB_engine
Tyrell Dewar,SF,177,149,-28,-15.8,606,632,-26,stage_A; stageB_engine
Jacob Farrow,SD,2639,2666,27,1.0,74,76,-2,stage_A; stageB_engine
Charlie Banfield,MID,667,694,27,4.0,315,319,-4,stage_A; stageB_engine; stageB_curve_pool
Lachlan Gulbin,SF,384,411,27,7.0,443,429,14,stage_A; stageB_engine
Jed Walter,KPF,1148,1174,26,2.3,207,217,-10,stageB_engine
Brent Daniels,SF,1392,1418,26,1.9,186,190,-4,stage_A; stageB_engine
Darcy Fogarty,KPF,1025,1051,26,2.5,229,240,-11,stage_A; stageB_engine
Adam Cerra,MID,1099,1125,26,2.4,220,229,-9,stage_A; stageB_engine
Rory Laird,SD,929,955,26,2.8,255,260,-5,stage_A; stageB_engine
Caiden Cleary,SF,508,534,26,5.1,381,375,6,stage_A; stageB_engine
Ben Miller,KPD,1145,1171,26,2.3,208,218,-10,stage_A; stageB_engine
Reilly O'Brien,RUCK,1038,1064,26,2.5,227,238,-11,stageB_engine
Maxwell King,SF,270,296,26,9.6,529,507,22,stage_A; stageB_curve_pool
Dylan Moore,SF,1371,1396,25,1.8,188,193,-5,stage_A; stageB_engine
Luke Trainor,KPD,1507,1482,-25,-1.7,167,180,-13,stage_A; stageB_engine
Lachlan Carmichael,SD,602,577,-25,-4.2,335,352,-17,stage_A; stageB_curve_pool
Jack Gunston,KPF,1162,1187,25,2.2,204,215,-11,stage_A; stageB_engine
