key,v
cody-weightman,219
colby-mckercher,4050
connor-budarick,182
connor-idun,2486
connor-macdonald,2869
connor-o-sullivan,2979
connor-rozee,2922
conor-mckenna,9
conor-nash,348
conor-stone,86
cooper-bell,321
cooper-duff-tytler,1638
cooper-harvey,663
cooper-hynes,1294
cooper-lord,1169
cooper-sharman,689
cooper-simpson,245
cooper-trembath,2140
corey-durdin,68
corey-wagner,43
corey-warner,80
dan-houston,1355
dane-rampe,2
daniel-annable,1856
daniel-butler,21
daniel-curtin,2609
daniel-mcstay,239
daniel-rioli,809
daniel-turner,1763
dante-visentini,1147
darcy-byrne-jones,423
darcy-cameron,1583
darcy-fogarty,1051
darcy-fort,55
darcy-gardiner,47
darcy-jones,1494
darcy-moore,237
darcy-parish,730
darcy-wilmot,3734
darcy-wilson,3407
darragh-joyce,13
dayne-zorko,1248
deven-robertson,199
dion-prestia,178
dougal-howard,89
dylan-moore,1396
dylan-patterson,1133
dylan-stephens,505
dyson-sharp,2546
eamonn-armstrong,185
ed-langdon,581
ed-richards,3833
edward-allan,849
elijah-hewett,782
elijah-hollands,864
elijah-tsatas,1362
elliot-himmelberg,91
elliot-yeo,87
eric-hipwood,50
errol-gulden,5496
esava-ratugolea,120
ethan-read,1024
ewan-mackinlay,47
finlay-macrae,107
finn-callaghan,5577
finn-maginness,37
finn-o-sullivan,3423
finnbar-maley,312
finnegan-davis,373
flynn-perez,10
flynn-riley,590
flynn-young,11
francis-evans,480
fred-rodriguez,426
george-hewett,1930
george-stevens,407
george-wardlaw,3221
griffin-logue,130
gryan-miers,1964
hamish-davis,974
harley-barker,731
harley-reid,3657
harris-andrews,1956
harrison-coe,167
harrison-himmelberg,345
harrison-jones,209
harrison-oliver,683
harrison-petty,195
harrison-ramm,394
harry-armstrong,1031
harry-barnett,620
harry-charleson,284
harry-cunningham,1
harry-dean,2567
harry-demattia,468
harry-edwards,161
harry-kyle,1110
harry-mckay,1872
harry-morrison,55
harry-o-farrell,932
harry-perryman,123
harry-rowston,644
harry-schoenberg,55
harry-sharp,75
harry-sheezel,9872
harvey-gallagher,138
harvey-harrison,66
harvey-johnston,257
harvey-langford,2470
harvey-thomas,2017
hayden-mclean,387
hayden-young,2071
heath-chapman,493
henry-hustwaite,275
henry-smith,192
hudson-o-keeffe,301
hugh-bond,198
hugh-boxshall,1019
hugh-davies,307
hugh-mccluggage,1785
hugo-garcia,3032
hugo-hall-kahan,234
hugo-mikunda,353
hugo-ralphsmith,45
hunter-clark,56
hunter-holmes,570
hussien-el-achkar,492
iliro-smit,408
indy-cotton,286
isaac-cumming,63
isaac-heeney,3627
isaac-kako,1462
isaac-keeler,317
isaac-quaynor,601
isaiah-dudley,119
izak-rankine,3063
jack-bowes,113
jack-buckley,740
jack-buller,93
jack-carroll,100
jack-crisp,590
jack-dalton,628
jack-darling,203
jack-ginnivan,2504
jack-graham,387
jack-gunston,1187
jack-henderson,7
jack-henry,258
jack-higgins,135
jack-hutchinson,39
jack-ison,624
jack-lukosius,385
jack-martin,102
jack-ough,722
jack-payne,173
jack-ross,2280
jack-scrimshaw,158
jack-silvagni,903
jack-sinclair,3403
jack-steele,1684
jack-viney,368
jack-watkins,3
jack-whitlock,1325
jack-williams,540
jackson-archer,73
jackson-macrae,143
jackson-mead,39
jacob-farrow,2666
jacob-hopper,127
jacob-konstanty,206
jacob-molier,489
jacob-moss,293
jacob-newton,224
jacob-van-rooyen,1951
jacob-wehr,24
jacob-weitering,1228
jade-gresham,58
jaeger-o-meara,191
jagga-smith,4381
jai-culley,245
jai-murray,1343
jai-newcombe,4274
jai-saxena,272
jai-serong,912
jaime-uhr-henry,448
jake-bowey,4042
jake-kolodjashnij,37
jake-lever,753
jake-lloyd,62
jake-melksham,52
jake-riccardi,396
jake-rogers,647
jake-soligo,1952
jake-stringer,142
jake-waterman,1421
jakob-ryan,276
jamarra-ugle-hagan,353
james-barrat,383
james-blanck,36
james-borlase,564
james-jordon,168
james-leake,537
james-o-donnell,625
james-peatling,1472
james-rowbottom,1021
james-sicily,1907
james-trezise,167
james-tunstill,111
james-worpel,501
jamie-cripps,38
jamie-elliott,33
jaren-carr,213
jarman-impey,1132
jarrod-berry,332
jarrod-witts,223
jase-burgoyne,2281
jason-horne-francis,5368
jaspa-fletcher,2683
jasper-alger,395
jaxon-artemis,358
jaxon-prior,390
jay-polkinghorne,368
jayden-laverde,298
jayden-nguyen,510
jayden-short,1304
jed-adams,264
jed-bews,34
jed-walter,1174
jedd-busslinger,1048
jeremy-cameron,1021
jeremy-howe,368
jeremy-sharp,77
jesse-dattoli,440
jesse-hogan,329
jesse-mellor,301
jesse-motlop,110
jevan-phillipou,483
jhye-clark,879
jobe-shanahan,1853
joe-berry,1397
joe-pike,449
joe-richards,1120
joel-amartey,57
joel-cochran,325
joel-fitzgerald,80
joel-freijah,2727
joel-hamling,33
joel-jeffrey,2038
john-noble,2197
jonty-faull,1255
jordan-boyd,7
jordan-clark,3771
jordan-croft,1051
jordan-dawson,3491
jordan-de-goey,1722
jordan-ridley,904
jordon-butts,17
jordon-sweet,2570
josaia-delana,421
joseph-fonti,840
josh-battle,2265
josh-daicos,2264
josh-dolan,501
josh-draper,537
josh-dunkley,1426
josh-gibcus,196
josh-goater,94
josh-lai,549
josh-lindsay,2463
josh-rachele,2150
josh-sinn,186
josh-smillie,1245
josh-treacy,6157
josh-ward,2751
josh-worrell,3778
joshua-kelly,547
joshua-weddle,1689
judd-mcvee,386
judson-clarke,95
justin-mcinerney,1975
jy-farrar,24
jy-simpkin,1003
jye-amiss,1753
jye-caldwell,1169
kade-chandler,1134
kai-lohmann,805
kalani-white,446
kaleb-smith,119
kane-farrell,1490
kane-mcauliffe,1406
karl-amon,560
karl-worner,1103
kayle-gerreyn,337
keidean-coleman,920
keighton-matofai-forbes,284
kieren-briggs,2537
kobe-mcdonald,286
koby-coulson,424
koby-evans,448
koltyn-tholstrup,1596
kye-annand,181
kye-fincher,392
kyle-langford,727
kysaiah-pickett,3943
lachie-jaques,891
lachie-neale,2346
lachie-sullivan,1
lachie-whitfield,2229
lachlan-ash,5675
lachlan-blakiston,20
lachlan-bramble,97
lachlan-carmichael,564
lachlan-cowan,820
lachlan-fogarty,73
lachlan-gulbin,411
lachlan-jones,156
lachlan-mcandrew,1432
lachlan-mcneil,26
lachlan-schultz,850
lachlan-sholl,220
lachlan-smith,711
lachlan-weller,79
lachy-dovaston,1061
laitham-vandermeer,33
lance-collard,236
latrelle-pickett,630
lawson-humphries,1976
leek-aleer,287
lennox-hoffman,284
leo-lombard,1603
leon-kickett,406
levi-ashcroft,3405
lewis-hayes,371
lewis-melican,59
lewis-young,181
liam-baker,571
liam-duggan,367
liam-fawcett,526
liam-henry,89
liam-hetherton,392
liam-mcmahon,208
liam-o-connell,42
liam-puncher,102
liam-reidy,369
liam-ryan,30
liam-stocker,40
lincoln-mccarthy,25
lloyd-meek,1474
logan-evans,1506
logan-mcdonald,720
logan-morris,3158
logan-smith,449
louis-emmett,971
lucas-camporeale,250
lucca-grego,245
lukas-cooke,151
luke-beecken,21
luke-cleary,76
luke-davies-uniacke,3540
luke-jackson,8718
luke-kennedy,525
luke-lloyd,280
luke-mcdonald,53
luke-nankervis,468
luke-parker,1669
luke-pedlar,160
luke-ryan,1605
luke-trainor,1482
luke-urquhart,245
luker-kentfield,412
mabior-chol,397
mac-andrew,4041
malakai-champion,418
malcolm-rosas,32
mani-liddy,30
marc-pittonet,553
marcus-bontempelli,4265
marcus-herbert,945
marcus-windhager,2153
mark-blicavs,6
mark-keane,1816
mark-o-connor,20
mason-cox,2
mason-redman,1634
mason-wood,522
massimo-d-ambrosio,1669
matt-carroll,1007
matt-cottrell,49
matt-duffy,156
matt-guelfi,19
matt-hill,124
matt-johnson-1,1076
matt-owies,1
matt-rowell,4035
matt-whitlock,604
mattaes-phillipou,2354
matthew-flynn,689
matthew-jefferson,499
matthew-kennedy-1,768
matthew-leray,381
matthew-roberts,2042
maurice-rioli-1,45
max-beattie,62
max-gawn,3420
max-gruzewski,561
max-hall,2542
max-heath,657
max-holmes,7432
max-king-stk,338
max-king-syd,290
max-knobel,508
max-kondogiannis,564
max-mapley,586
max-michalanney,573
max-ramsden,247
michael-frederick,114
michael-sellwood,208
milan-murdock,353
miles-bergman,849
mitch-georgiades,1521
mitch-mcgovern,29
mitch-podhajski,49
mitch-zadow,97
mitchell-edwards,2055
mitchell-hinge,479
mitchell-knevitt,177
mitchell-lewis,700
mitchell-marsh,689
mitchito-owens,2056
murphy-reid,4305
mykelti-lefau,38
nasiah-wanganeen-milera,8317
nate-caddy,1812
nathan-broad,10
nathan-o-driscoll,709
nathan-wardius,176
ned-bowman,383
ned-long,1294
ned-moyle,2123
ned-reeves,330
neil-erasmus,1065
nic-newman,812
nicholas-coffield,53
nicholas-holman,27
nicholas-martin,3562
nick-blakey,4089
nick-bryan,837
nick-daicos,9191
nick-driscoll,426
nick-haynes,103
nick-larkey,678
nick-madden,1939
nick-murray,448
nick-vlastuin,111
nick-watson,3710
nikolas-cox,181
noah-anderson,5240
noah-answerth,31
noah-balta,569
noah-chamberlain,226
noah-howes,348
noah-long,206
noah-mraz,4027
noah-roberts-thomson,467
oisin-mullin,10
oliver-florent,770
oliver-francou,565
oliver-griffin,272
oliver-hannaford,466
oliver-hayes-brown,279
oliver-henry,105
oliver-hollands,1796
oliver-wiltshire,99
oliver-wines,391
ollie-dempsey,2222
ollie-greeves,663
ollie-lord,154
ollie-murphy,285
oscar-adams,96
oscar-allen,161
oscar-berry,92
oscar-mcdonald,44
oscar-ryan,286
oscar-steene,558
oskar-baker,32
oskar-taylor,741
paddy-cross,36
paddy-dow,165
patrick-carr,586
patrick-cripps,1876
patrick-dangerfield,89
patrick-lipinski,928
patrick-retschko,1348
patrick-said,200
patrick-snell,245
patrick-voss,1841
paul-curtis,1522
peter-ladhams,282
peter-wright,1767
phoenix-gothard,1963
reece-torrent,198
reef-mcinnes,79
reilly-o-brien,1061
reuben-ginbey,2611
rhett-bazzo,598
rhyan-mansell,86
rhylee-west,221
rhys-stanley,40
rhys-unwin,199
riak-andrew,294
ricky-mentha,176
riley-bice,340
riley-garcia,116
riley-hamilton,340
riley-hardeman,315
riley-onley,426
riley-thilthorpe,4164
river-stevens,222
roan-steele,22
rob-monahan,176
robert-hansen,127
rory-laird,953
rory-lobb,433
rowan-marshall,1856
ryan-angwin,503
ryan-byrnes,96
ryan-gardner,33
ryan-lester,106
ryan-maric,1486
ryda-luke,272
ryley-sanders,3513
saad-el-hawli,19
sam-allen,676
sam-banks,1225
sam-berry,3692
sam-butler-1,107
sam-clohesy,270
sam-cumming,3047
sam-darcy,4929
sam-davidson,80
sam-de-koning,1045
sam-draper,830
sam-durham,2494
sam-flanders,2129
sam-lalor,3957
sam-marshall,876
sam-powell-pepper,278
sam-sturt,63
sam-switkowski,25
sam-taylor,1483
sam-walsh,3287
sam-wicks,27
samson-ryan,420
samuel-collins,811
samuel-grlj,2142
samuel-swadling,953
sandy-brock,267
scott-pendlebury,482
sean-darcy,947
seth-campbell,1124
shadeau-brain,110
shai-bolton,2444
shannon-neale,2357
shaun-mannagh,716
sid-draper,1175
steele-sidebottom,104
steely-green,175
stephen-coniglio,165
sullivan-robey,3052
tai-hayes,268
taj-hotton,2203
talor-byrne,915
tanner-bruhn,2166
taylor-goad,1029
taylor-walker,219
tew-jiath,236
thomas-anastasopoulos,339
thomas-burton,454
thomas-liberatore,1602
thomas-matthews,538
thomas-sims,1151
thomas-stewart,1269
tim-kelly,838
tim-membrey,212
tim-taranto,2457
timothy-english,3768
tobie-travaglia,728
toby-bedford,272
toby-conway,568
toby-greene,1040
toby-mcmullin,156
toby-murray,291
toby-nankervis,2192
toby-pink,17
toby-whan,272
tobyn-murray,403
todd-marshall,115
tom-atkins,418
tom-barrass,116
tom-blamires,95
tom-brown,590
tom-cochrane,270
tom-cole,31
tom-de-koning,2074
tom-doedee,361
tom-edwards,91
tom-green,4669
tom-gross,629
tom-hanily,200
tom-lynch-1,51
tom-mccarthy,1634
tom-mccartin,1931
tom-mcdonald,186
tom-papley,532
tom-powell,2057
tom-sparrow,1423
touk-miller,2370
trent-rivers,1763
tristan-xerri,7399
ty-gallop,1598
tyan-prindable,593
tylah-williams,436
tylar-young,319
tyler-brockman,80
tyler-sonsie,1099
tyler-welsh,260
tyrell-dewar,149
tyson-stengle,255
vigo-visentini,417
wade-derksen,86
wayne-milera,2000
wil-dawson,605
wil-parker,27
wil-powell,961
will-ashcroft,6363
will-brodie,1038
will-darcy,480
will-day,2958
will-edwards,279
will-graham,1677
will-green,659
will-hayes-b,368
will-hayward,224
will-lewis,16
will-lorenz,437
will-mclachlan,177
will-setterfield,804
willem-drew,737
willem-duursma,4515
william-mccabe,773
xavier-bamert,471
xavier-duursma,208
xavier-lindsay,2180
xavier-o-halloran,72
xavier-taylor,893
xavier-walsh,262
zac-bailey,3207
zac-banch,48
zac-fisher,185
zac-mccarthy,412
zac-taylor,261
zac-walker,264
zach-guthrie,327
zach-reid,1434
zachary-merrett,2815
zachary-williams,524
zak-butters,6455
zak-evans,4
zak-johnson,644
zane-duursma,779
zane-peucker,627
zane-zakostelsky,472
zeke-uwland,2769
