player,pos,v_baseline,d_your_edits,d_rebake,d_axis,d_bars,d_curve_pool,v_final,delta_total,rank_before,rank_final,rank_move,notes
Ryley Sanders,SF,3432,1,0,80,173,0,3686,254,48,44,4,collateral: position-group ripple | year0 bar MID→SF
Caleb May,RUCK,586,0,0,0,0,-254,332,-254,340,483,-143,
Max Mapley,RUCK,586,0,0,0,0,-254,332,-254,341,485,-144,
Patrick Carr,RUCK,586,0,0,0,0,-254,332,-254,342,486,-144,
Tom Powell,SF,2015,-4,0,46,205,0,2262,247,118,105,13,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Nasiah Wanganeen-Milera,SD,8134,-5,0,188,58,0,8375,241,4,4,0,collateral: position-group ripple | year0 bar MID→SD | 2026 col-bar row MID→col SD
Dan Houston,SD,1116,2,0,237,2,0,1357,241,215,198,17,collateral: position-group ripple
Alex Van Wyk,RUCK,570,0,0,13,0,-251,332,-238,352,482,-130,
Sam Lalor,SF,3867,-1,0,91,145,0,4102,235,35,27,8,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Connor Budarick,SF,178,0,0,4,227,0,409,231,604,431,173,year0 bar SD→SF
Elliot Yeo,SF,86,0,0,1,229,0,316,230,684,496,188,year0 bar MID→SF | 2026 col-bar row MID→col SF
Brayden Cook,SF,901,0,0,21,206,0,1128,227,260,228,32,year0 bar MID→SF
Nick Daicos,MID,8988,-6,0,209,23,0,9214,226,2,2,0,collateral: position-group ripple
Joel Freijah,SF,2665,0,0,62,164,0,2891,226,72,68,4,year0 bar MID→SF
Lachie Whitfield,SD,2015,163,0,51,3,0,2232,217,117,107,10,EDITED: present_position: MID→SD
Harrison Himmelberg,SD,560,1,0,-216,-1,0,344,-216,358,471,-113,collateral: position-group ripple
Jai Serong,KPD,891,0,0,21,195,0,1107,216,263,233,30,year0 bar SD→KPD | 2026 col-bar row MID→col KPD
Luke Jackson,RUCK,8521,0,0,197,17,0,8735,214,3,3,0,
Sullivan Robey,SF,2908,76,0,68,70,0,3122,214,65,61,4,collateral: position-group ripple | year0 bar MID→SF
Flynn Riley,RUCK,578,0,0,12,0,-226,364,-214,347,458,-111,
Caleb Windsor,SD,1559,160,0,40,6,0,1765,206,163,151,12,collateral: position-group ripple | year0 bar MID→SD | 2026 col-bar row MID→col SD
Lachy Dovaston,SF,859,179,0,23,0,0,1061,202,269,239,30,collateral: position-group ripple
Aiden Riddle,RUCK,449,0,0,0,0,-194,255,-194,403,544,-141,
Joe Pike,RUCK,449,0,0,0,0,-194,255,-194,405,546,-141,
Logan Smith,RUCK,445,0,0,4,0,-194,255,-190,406,547,-141,
Luke Parker,SD,1485,146,0,38,1,0,1670,185,171,159,12,EDITED: present_position: MID→SD | 2026 col-bar row MID→col SD
Max Holmes,MID,7268,-5,0,169,20,0,7452,184,5,5,0,collateral: position-group ripple | 2026 col-bar row SD→col MID
Tristan Xerri,RUCK,7231,0,0,168,15,0,7414,183,6,6,0,
Jaime Uhr-Henry,RUCK,437,0,0,11,0,-193,255,-182,409,545,-136,
Liam Reidy,KPF,361,0,0,8,201,-27,543,182,458,371,87,year0 bar RUCK→KPF
Vigo Visentini,RUCK,417,0,0,0,0,-180,237,-180,418,566,-148,
Mattaes Phillipou,SF,2290,10,0,54,108,0,2462,172,94,91,3,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Iliro Smit,RUCK,399,0,0,9,0,-171,237,-162,433,565,-132,
Zak Butters,MID,6313,-4,0,146,18,0,6473,160,7,7,0,collateral: position-group ripple
Will Ashcroft,MID,6223,-5,0,145,17,0,6380,157,8,8,0,collateral: position-group ripple
Daniel Curtin,MID,2452,98,0,59,0,0,2609,157,83,79,4,collateral: position-group ripple
Mitch McGovern,SF,238,-210,1,0,56,0,85,-153,555,691,-136,EDITED: present_position: KPF→SD | year0 bar SD→SF | 2026 col-bar row KPF→col SF
Bailey Smith,MID,5941,-4,0,138,17,0,6092,151,10,10,0,collateral: position-group ripple
Lachlan Ash,SD,5534,10,0,131,7,0,5682,148,11,11,0,collateral: position-group ripple
Jhye Clark,SF,782,76,0,21,46,0,925,143,287,265,22,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Reuben Ginbey,SD,2599,-2,0,14,-153,0,2458,-141,76,92,-16,collateral: position-group ripple | year0 bar KPD→SD
Finn Callaghan,MID,5454,-4,0,127,15,0,5592,138,12,12,0,collateral: position-group ripple
Sam Cumming,MID,2910,68,0,69,0,0,3047,137,63,63,0,collateral: position-group ripple
Will Graham,SF,1590,49,0,38,50,0,1727,137,158,154,4,EDITED: present_position: SF→MID; p_dual_stream: 70.0→90 | year0 bar MID→SF | 2026 col-bar row MID→col SF
Errol Gulden,MID,5375,-3,0,124,15,0,5511,136,13,14,-1,collateral: position-group ripple
Noah Anderson,MID,5125,-3,0,118,17,0,5257,132,15,15,0,collateral: position-group ripple
Karl Amon,SD,429,118,0,13,1,0,561,132,413,363,50,EDITED: present_position: MID→SD
Jake Lloyd,SF,60,0,0,2,129,0,191,131,711,603,108,year0 bar SD→SF | 2026 col-bar row MID→col SF
Josh Treacy,KPF,6029,-9,0,137,0,0,6157,128,9,9,0,collateral: position-group ripple
Dyson Sharp,SF,2493,-5,0,58,75,0,2621,128,80,78,2,collateral: position-group ripple | year0 bar MID→SF
Jack Crisp,MID,719,-142,0,13,2,0,592,-127,302,349,-47,EDITED: present_position: SD→MID
Sam Flanders,SF,2082,-1,0,48,79,0,2208,126,110,111,-1,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Zeke Uwland,SD,2646,60,0,63,0,0,2769,123,73,71,2,EDITED: future_position: MID→SD; alternate_position: SD→MID
Mitchell Marsh,KPF,582,0,107,0,0,16,705,123,345,315,30,
Josh Daicos,SD,2146,66,0,52,4,0,2268,122,102,104,-2,EDITED: present_position: MID→SD
Caleb Serong,MID,4691,-4,0,110,14,0,4811,120,18,17,1,collateral: position-group ripple
Aidan Schubert,KPF,576,0,104,0,0,16,696,120,351,318,33,
Tom Green,MID,4565,-2,0,106,13,0,4682,117,19,18,1,collateral: position-group ripple
Brodie Grundy,RUCK,4369,0,0,102,10,0,4481,112,21,22,-1,
Murphy Reid,SF,4193,15,0,97,0,0,4305,112,23,23,0,collateral: position-group ripple
Josh Worrell,SD,3894,-203,0,87,5,0,3783,-111,33,37,-4,EDITED: present_position: KPD→SD
Tyler Sonsie,SF,1074,0,0,25,85,0,1184,110,225,216,9,year0 bar MID→SF
Colby McKercher,SD,3964,-6,0,92,23,0,4073,109,28,29,-1,collateral: position-group ripple | year0 bar MID→SD | 2026 col-bar row SF→col SD
Mark Blicavs,RUCK,119,-113,0,0,4,0,10,-109,643,792,-149,EDITED: present_position: KPD→MID | year0 bar MID→RUCK
Marcus Bontempelli,MID,4171,-1,0,95,13,0,4278,107,25,25,0,collateral: position-group ripple
Jake Bowey,SD,3941,8,0,93,6,0,4048,107,31,31,0,collateral: position-group ripple
Nick Blakey,SD,3987,8,0,94,5,0,4094,107,27,28,-1,collateral: position-group ripple
Rory Lobb,KPD,538,-94,0,-11,-2,0,431,-107,370,417,-47,EDITED: present_position: KPF→KPD
Jai Newcombe,MID,4180,-3,0,97,12,0,4286,106,24,24,0,collateral: position-group ripple
Dante Visentini,KPF,1121,0,0,26,80,0,1227,106,214,211,3,year0 bar RUCK→KPF
Phoenix Gothard,SF,1858,60,0,45,0,0,1963,105,135,131,4,collateral: position-group ripple
Finn O'Sullivan,SD,3345,0,0,78,26,0,3449,104,53,51,2,year0 bar MID→SD
Sam Darcy,KPF,4827,-9,0,111,0,0,4929,102,17,16,1,collateral: position-group ripple
Bodhi Uwland,SD,3782,7,0,90,4,0,3883,101,36,35,1,collateral: position-group ripple
Matt Rowell,MID,3945,-3,0,93,11,0,4046,101,30,32,-2,collateral: position-group ripple
Samuel Grlj,SD,2042,51,0,49,0,0,2142,100,114,118,-4,collateral: position-group ripple | year0 bar MID→SD
Oliver Florent,SD,667,84,0,19,-3,0,767,100,316,297,19,EDITED: present_position: MID→SD | 2026 col-bar row MID→col SD
Jordan Clark,SD,3678,7,0,86,6,0,3777,99,39,38,1,collateral: position-group ripple
Daniel Annable,MID,1791,-1,56,10,0,34,1890,99,141,138,3,collateral: position-group ripple
Josh Smillie,MID,1177,0,68,0,0,31,1276,99,202,206,-4,
Darcy Wilmot,SD,3642,7,0,85,5,0,3739,97,40,40,0,collateral: position-group ripple
Ed Richards,MID,3749,-2,0,86,12,0,3845,96,37,36,1,collateral: position-group ripple
Leo Lombard,SF,1508,58,0,37,0,0,1603,95,166,167,-1,collateral: position-group ripple
Mac Andrew,KPD,3960,-8,0,89,13,0,4054,94,29,30,-1,collateral: position-group ripple
Timothy English,RUCK,3682,0,0,86,8,0,3776,94,38,39,-1,
Dayne Zorko,SD,1156,64,0,28,2,0,1250,94,205,209,-4,EDITED: present_position: MID→SD
Tanner Bruhn,SD,2122,-4,0,48,48,0,2214,92,106,109,-3,collateral: position-group ripple | year0 bar MID→SD
Sam Berry,MID,3611,-3,0,84,10,0,3702,91,43,42,1,collateral: position-group ripple
Isaac Heeney,MID,3547,-3,0,83,10,0,3637,90,45,46,-1,collateral: position-group ripple
Jack Sinclair,SD,3318,7,0,78,5,0,3408,90,55,53,2,collateral: position-group ripple
Stephen Coniglio,SF,165,0,0,0,90,0,255,90,616,548,68,year0 bar MID→SF | 2026 col-bar row MID→col SF
Nicholas Martin,SF,3484,-2,0,80,11,0,3573,89,46,48,-2,collateral: position-group ripple | year0 bar MID→SF
Luke Davies-Uniacke,MID,3462,-2,0,80,10,0,3550,88,47,49,-2,collateral: position-group ripple
Jordan Dawson,MID,3414,-2,0,79,11,0,3502,88,49,50,-1,collateral: position-group ripple
Riley Thilthorpe,KPF,4077,-7,0,94,0,0,4164,87,26,26,0,collateral: position-group ripple
Beau Addinsall,MID,1407,-116,0,30,0,0,1321,-86,181,202,-21,collateral: position-group ripple
Callum Wilkie,KPD,3614,-8,0,81,12,0,3699,85,42,43,-1,collateral: position-group ripple
Harley Reid,MID,3578,-3,0,82,6,0,3663,85,44,45,-1,collateral: position-group ripple
Marcus Windhager,SD,2105,0,0,48,36,0,2189,84,108,114,-6,year0 bar MID→SD | 2026 col-bar row MID→col SD
Max Gawn,RUCK,3343,0,0,77,6,0,3426,83,54,52,2,
Marcus Herbert,MID,920,2,0,23,-108,0,837,-83,257,282,-25,collateral: position-group ripple | year0 bar SD→MID
Willem Duursma,MID,4416,-2,0,101,-17,0,4498,82,20,21,-1,collateral: position-group ripple
Sam Walsh,MID,3214,-2,0,75,9,0,3296,82,56,56,0,collateral: position-group ripple
Daniel Rioli,SD,726,2,0,81,-1,0,808,82,299,287,12,collateral: position-group ripple
Andrew Brayshaw,MID,3107,-3,0,73,10,0,3187,80,59,59,0,collateral: position-group ripple
Max Heath,KPF,641,0,0,16,63,0,720,79,324,310,14,year0 bar RUCK→KPF
Sam Wicks,SD,103,-76,0,0,0,0,27,-76,658,769,-111,EDITED: present_position: SF→SD
Logan Morris,KPF,3084,2,0,72,0,0,3158,74,60,60,0,collateral: position-group ripple
Connor Rozee,SD,2857,-2,0,67,8,0,2930,73,67,67,0,collateral: position-group ripple | year0 bar MID→SD
Nick Watson,SF,3638,-13,0,85,0,0,3710,72,41,41,0,collateral: position-group ripple
Noah Mraz,KPD,3934,5,-1,89,-23,2,4006,72,32,33,-1,collateral: position-group ripple
Hugo Garcia,MID,2966,-3,0,69,6,0,3038,72,62,64,-2,collateral: position-group ripple
James Jordon,SF,164,0,0,4,68,0,236,72,617,567,50,year0 bar MID→SF | 2026 col-bar row MID→col SF
Kysaiah Pickett,SF,3872,-18,0,89,0,0,3943,71,34,34,0,collateral: position-group ripple
Will Day,MID,2895,-4,0,67,8,0,2966,71,66,66,0,collateral: position-group ripple
Zachary Merrett,MID,2752,-2,0,65,8,0,2823,71,70,70,0,collateral: position-group ripple
Bailey Humphrey,SF,2324,-74,0,52,92,0,2394,70,91,95,-4,EDITED: present_position: SF→MID | year0 bar MID→SF
Archie Ludowyke,KPF,364,0,61,0,0,9,434,70,454,415,39,
Tom Cole,SF,33,0,-3,1,71,0,102,69,760,665,95,year0 bar SD→SF
Zac McCarthy,KPF,354,0,58,0,0,10,422,68,464,422,42,
Matt Cottrell,SF,48,0,0,1,67,0,116,68,726,648,78,year0 bar MID→SF
Clayton Oliver,MID,2569,-2,0,60,9,0,2636,67,77,77,0,collateral: position-group ripple
Taj Hotton,SF,2178,-26,0,51,42,0,2245,67,99,106,-7,collateral: position-group ripple | year0 bar MID→SF
Connor O'Sullivan,KPD,2908,5,0,66,-5,0,2974,66,64,65,-1,collateral: position-group ripple
Connor Idun,SD,2424,5,0,57,4,0,2490,66,87,87,0,collateral: position-group ripple
Koltyn Tholstrup,SF,1605,-45,0,36,75,0,1671,66,154,158,-4,collateral: position-group ripple | year0 bar SD→SF
Darcy Jones,SF,1428,32,0,34,0,0,1494,66,180,177,3,collateral: position-group ripple
Jordon Sweet,RUCK,2511,0,0,59,6,0,2576,65,78,81,-3,
Kieren Briggs,RUCK,2480,0,0,57,7,0,2544,64,81,83,-2,
Jake Rogers,SF,583,50,0,14,0,0,647,64,344,330,14,collateral: position-group ripple
George Wardlaw,MID,3152,-4,0,73,-6,0,3215,63,57,57,0,collateral: position-group ripple
Bailey Dale,SD,2376,3,0,56,4,0,2439,63,90,94,-4,collateral: position-group ripple
Cameron Mackenzie,MID,2001,15,0,48,0,0,2064,63,121,123,-2,collateral: position-group ripple
Tim Taranto,MID,2403,-2,0,56,8,0,2465,62,88,89,-1,collateral: position-group ripple
Jaspa Fletcher,SD,2622,0,0,61,0,0,2683,61,75,75,0,
Wayne Milera,SD,1942,4,0,54,3,0,2003,61,125,128,-3,collateral: position-group ripple
Xavier Lindsay,SD,2123,8,0,49,4,0,2184,61,105,115,-10,EDITED: present_position: SD→MID | year0 bar MID→SD | 2026 col-bar row MID→col SD
Lewis Young,KPF,178,0,0,3,58,0,239,61,605,563,42,year0 bar KPD→KPF | 2026 col-bar row KPD→col KPF
Charlie Nicholls,KPF,314,0,51,0,0,8,373,59,492,451,41,
Jack Henry,KPF,251,0,0,7,52,0,310,59,542,499,43,year0 bar KPD→KPF | 2026 col-bar row KPD→col KPF
Darcy Wilson,SF,3349,-19,0,77,0,0,3407,58,51,54,-3,collateral: position-group ripple
Harry Dean,KPD,2509,0,0,58,0,0,2567,58,79,82,-3,
Zac Bailey,SF,3149,-15,0,73,0,0,3207,58,58,58,0,collateral: position-group ripple
Lachie Neale,MID,2295,-2,0,53,7,0,2353,58,93,98,-5,collateral: position-group ripple
John Noble,SD,2143,4,0,50,4,0,2201,58,103,112,-9,collateral: position-group ripple
Levi Ashcroft,MID,3348,-21,0,78,0,0,3405,57,52,55,-3,collateral: position-group ripple
Izak Rankine,SF,3006,-14,0,71,0,0,3063,57,61,62,-1,collateral: position-group ripple
Jase Burgoyne,SD,2224,4,0,53,0,0,2281,57,98,101,-3,collateral: position-group ripple
Jonty Faull,KPF,1198,29,0,28,0,0,1255,57,199,208,-9,collateral: position-group ripple
Archer Day-Wicks,SF,484,44,0,13,0,0,541,57,390,372,18,collateral: position-group ripple | 2026 col-bar row MID→col SF
Chayce Jones,SD,110,-57,-1,0,0,1,53,-57,652,722,-70,EDITED: future_position: MID→SD | 2026 col-bar row MID→col SD
Cooper Duff-Tytler,KPF,1582,19,0,37,0,0,1638,56,159,161,-2,collateral: position-group ripple
Kayle Gerreyn,RUCK,289,0,48,0,0,8,345,56,514,470,44,year0 bar KPF→RUCK
Toby Nankervis,RUCK,2142,0,0,50,5,0,2197,55,104,113,-9,
Sid Draper,SF,1150,-2,0,27,29,0,1204,54,206,214,-8,collateral: position-group ripple | year0 bar MID→SF
Louis Emmett,RUCK,916,32,0,23,-1,0,970,54,258,258,0,EDITED: present_position: RUCK→KPF | year0 bar KPF→RUCK
Adam Sweid,MID,545,0,39,0,0,14,598,53,363,347,16,year0 bar SF→MID
Noah Balta,KPF,516,40,0,13,0,0,569,53,379,358,21,EDITED: present_position: KPD→KPF
Deven Robertson,SF,194,1,0,4,48,0,247,53,589,556,33,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Connor MacDonald,SF,2817,-13,0,65,0,0,2869,52,69,69,0,collateral: position-group ripple
Jacob Van Rooyen,KPF,1899,7,0,45,0,0,1951,52,131,133,-2,collateral: position-group ripple
Matt Carroll,SD,956,28,0,23,0,0,1007,51,247,253,-6,collateral: position-group ripple | year0 bar MID→SD | 2026 col-bar row MID→col SD
Tom De Koning,RUCK,2028,0,0,46,4,0,2078,50,115,121,-6,
Latrelle Pickett,SF,580,36,0,14,0,0,630,50,346,337,9,collateral: position-group ripple
Cooper Trembath,KPF,2090,1,0,49,0,0,2140,50,109,119,-10,collateral: position-group ripple
Patrick Voss,KPF,1791,8,0,42,0,0,1841,50,142,143,-1,collateral: position-group ripple
Oliver Hannaford,MID,413,41,0,12,-3,0,463,50,423,405,18,collateral: position-group ripple | year0 bar SF→MID | 2026 col-bar row SF→col MID
Harvey Thomas,SF,2167,-194,0,44,200,0,2217,50,101,108,-7,EDITED: present_position: SF→MID | year0 bar MID→SF | 2026 col-bar row MID→col SF
Thomas Matthews,SF,501,0,37,0,0,13,551,50,383,367,16,
Shannon Neale,KPF,2308,-4,0,53,0,0,2357,49,92,97,-5,collateral: position-group ripple
James Sicily,SD,1861,2,0,44,3,0,1910,49,134,137,-3,collateral: position-group ripple
George Hewett,MID,1888,-1,0,43,7,0,1937,49,133,134,-1,collateral: position-group ripple
Kane McAuliffe,MID,1357,17,0,32,0,0,1406,49,189,191,-2,collateral: position-group ripple
Jack Silvagni,KPD,954,-71,0,20,3,0,906,-48,248,268,-20,EDITED: present_position: KPF→KPD
Kalani White,KPF,398,37,0,11,0,0,446,48,435,413,22,collateral: position-group ripple
Tom McCartin,KPD,1984,-4,0,-49,6,0,1937,-47,124,135,-11,collateral: position-group ripple
Patrick Cripps,MID,1834,-1,0,43,5,0,1881,47,137,139,-2,collateral: position-group ripple
Cameron Nairn,SF,737,-4,33,10,0,8,784,47,295,292,3,collateral: position-group ripple
Hayden Young,MID,2026,-1,0,46,2,0,2073,47,116,122,-6,collateral: position-group ripple
Ryan Maric,SD,1453,0,0,33,14,0,1500,47,175,176,-1,year0 bar MID→SD
Matthew Roberts,SD,1995,0,0,47,0,0,2042,47,122,126,-4,2026 col-bar row MID→col SD
Mitchito Owens,KPF,2010,0,0,46,0,0,2056,46,119,124,-5,
Jack Ginnivan,SF,2458,-11,0,57,0,0,2504,46,82,85,-3,collateral: position-group ripple
Matt Whitlock,KPF,563,4,29,8,0,5,609,46,355,343,12,collateral: position-group ripple
Thomas Sims,KPF,1105,19,0,27,0,0,1151,46,217,223,-6,collateral: position-group ripple
Mitchell Edwards,RUCK,2009,0,0,46,0,0,2055,46,120,125,-5,
Braeden Campbell,SF,331,0,0,7,39,0,377,46,480,450,30,year0 bar SD→SF
Shai Bolton,SF,2399,-10,0,55,0,0,2444,45,89,93,-4,collateral: position-group ripple
Lawson Humphries,SD,1927,3,0,46,-4,0,1972,45,128,129,-1,collateral: position-group ripple
Hugh McCluggage,MID,1746,-1,0,40,6,0,1791,45,145,147,-2,collateral: position-group ripple
Ned Moyle,RUCK,2074,0,0,49,-4,0,2119,45,111,120,-9,
Jevan Phillipou,MID,449,0,34,0,0,11,494,45,404,392,12,year0 bar SF→MID
Callum Mills,SD,2228,5,0,35,4,0,2272,44,97,103,-6,collateral: position-group ripple
Harris Andrews,KPD,1917,-4,0,43,5,0,1961,44,129,132,-3,collateral: position-group ripple
Avery Thomas,SD,538,0,-55,0,0,11,494,-44,369,391,-22,
Harvey Langford,MID,2427,-14,0,57,0,0,2470,43,86,88,-2,collateral: position-group ripple
Luke Ryan,SD,1565,3,0,37,3,0,1608,43,161,165,-4,collateral: position-group ripple
Jesse Dattoli,SF,407,0,33,0,0,10,450,43,427,409,18,
Mark Keane,KPD,1777,-2,0,41,3,0,1819,42,143,144,-1,collateral: position-group ripple
Nate Caddy,KPF,1770,1,0,41,0,0,1812,42,144,146,-2,collateral: position-group ripple
Jack Steele,MID,1647,-1,0,38,5,0,1689,42,151,156,-5,collateral: position-group ripple
Mason Redman,SD,1594,2,0,38,2,0,1636,42,155,162,-7,collateral: position-group ripple
Jobe Shanahan,KPF,1811,-1,0,43,0,0,1853,42,140,142,-2,collateral: position-group ripple
Joel Jeffrey,SD,1987,3,0,48,-9,0,2029,42,123,127,-4,collateral: position-group ripple
Noah Howes,KPF,306,34,0,8,0,0,348,42,498,469,29,collateral: position-group ripple
Tyler Welsh,KPF,224,0,36,0,0,6,266,42,560,538,22,
Caleb Daniel,SD,1510,3,0,36,2,0,1551,41,165,171,-6,collateral: position-group ripple
Thomas Liberatore,MID,1566,-1,0,37,5,0,1607,41,160,166,-6,collateral: position-group ripple
Trent Rivers,SD,1718,4,0,41,-4,0,1759,41,148,152,-4,collateral: position-group ripple
Neil Erasmus,MID,1024,17,0,24,0,0,1065,41,231,237,-6,collateral: position-group ripple
Koby Evans,MID,417,0,31,0,0,10,458,41,417,407,10,year0 bar SF→MID
Liam Hetherton,KPF,351,32,0,9,0,0,392,41,467,439,28,collateral: position-group ripple
Cooper Lord,MID,1128,13,0,28,0,0,1169,41,213,219,-6,collateral: position-group ripple
Jye Amiss,KPF,1713,0,0,40,0,0,1753,40,149,153,-4,
Darcy Cameron,RUCK,1548,0,0,35,5,0,1588,40,164,169,-5,
Bo Allan,SD,1184,12,0,28,0,0,1224,40,201,213,-12,collateral: position-group ripple | 2026 col-bar row MID→col SD
Daniel Turner,KPD,1727,-2,0,38,4,0,1767,40,147,149,-2,collateral: position-group ripple
Tylah Williams,SF,407,0,29,0,0,11,447,40,428,412,16,
Tom McCarthy,SD,1594,2,0,38,-1,0,1633,39,156,163,-7,collateral: position-group ripple
Harry McKay,KPF,1833,-4,0,43,0,0,1872,39,138,141,-3,collateral: position-group ripple
Kane Farrell,SD,1453,3,0,34,2,0,1492,39,174,178,-4,collateral: position-group ripple
Cody Curtin,KPF,664,8,15,13,0,3,703,39,317,316,1,collateral: position-group ripple
Joshua Weddle,SD,1651,0,0,38,0,0,1689,38,150,157,-7,2026 col-bar row MID→col SD
Alix Tauru,KPF,1608,-73,0,36,0,0,1571,-37,153,170,-17,collateral: position-group ripple | year0 bar KPD→KPF
Peter Wright,KPF,1730,-3,0,40,0,0,1767,37,146,150,-4,collateral: position-group ripple | 2026 col-bar row RUCK→col KPF
Ollie Dempsey,MID,2174,-4,0,52,-11,0,2211,37,100,110,-10,collateral: position-group ripple
Massimo D'Ambrosio,MID,1632,0,0,37,0,0,1669,37,152,160,-8,
Josh Rachele,SF,2114,-13,0,49,0,0,2150,36,107,117,-10,collateral: position-group ripple | 2026 col-bar row MID→col SF
Gryan Miers,SF,1928,-9,0,45,0,0,1964,36,127,130,-3,collateral: position-group ripple
Jayden Short,SD,1270,3,0,31,2,0,1306,36,195,205,-10,collateral: position-group ripple
Josh Dunkley,MID,1395,-1,0,32,5,0,1431,36,184,187,-3,collateral: position-group ripple
Harry Armstrong,KPF,995,13,0,23,0,0,1031,36,243,247,-4,collateral: position-group ripple
Josh Dolan,SF,465,24,0,12,0,0,501,36,400,388,12,collateral: position-group ripple
Leon Kickett,SF,370,26,0,10,0,0,406,36,453,433,20,collateral: position-group ripple
