player,pos_before,pos_after,v_baseline,v_after_stageA,v_final,delta_total,delta_stageA,stageA_your_edit_effect,stageA_rebake_effect,your_edit,stageA_cause,delta_stageB,stageB_levers,rank_before,rank_final,rank_move
Jack Lukosius,KPF,KPF,935,376,635,-300,-559,-559,0,present_position: KPF→SF; future_position: KPF→SF,the 62 edits (own row),259,year0 bar SF→KPF,253,334,-81
Isaac Kako,SF,SF,1167,1430,1462,295,263,263,0,,the 62 edits (gfut cohort),32,played-axis/other,203,184,19
Jagga Smith,MID,SF,4284,4283,4573,289,-1,-1,0,,the 62 edits (gfut cohort),290,year0 bar MID→SF,22,20,2
Max Hall,SF,SF,2823,2484,2542,-281,-339,-339,0,future_position: MID→SF,the 62 edits (own row),58,played-axis/other,68,84,-16
Sam Durham,MID,SF,2439,2437,2710,271,-2,-2,0,,the 62 edits (gfut cohort),273,year0 bar MID→SF; 2026 col-bar row MID→col SF,84,73,11
Chad Warner,MID,SF,3355,3352,3624,269,-3,-3,0,,the 62 edits (gfut cohort),272,year0 bar MID→SF; 2026 col-bar row MID→col SF,50,47,3
Archie Roberts,SD,SD,4941,4565,4675,-266,-376,-376,0,future_position: MID→SD,the 62 edits (own row),110,played-axis/other,16,19,-3
Ned Long,MID,SF,1266,1266,1524,258,0,0,0,,,258,year0 bar MID→SF,196,172,24
Jake Soligo,MID,SF,1908,1908,2164,256,0,0,0,,,256,year0 bar MID→SF,130,116,14
Ryley Sanders,MID,SF,3432,3433,3686,254,1,1,0,,the 62 edits (gfut cohort),253,year0 bar MID→SF,48,44,4
Caleb May,RUCK,RUCK,586,586,332,-254,0,0,0,,,-254,curve+pool,340,483,-143
Max Mapley,RUCK,RUCK,586,586,332,-254,0,0,0,,,-254,curve+pool,341,485,-144
Patrick Carr,RUCK,RUCK,586,586,332,-254,0,0,0,,,-254,curve+pool,342,486,-144
Tom Powell,MID,SF,2015,2011,2262,247,-4,-4,0,,the 62 edits (gfut cohort),251,year0 bar MID→SF; 2026 col-bar row MID→col SF,118,105,13
Nasiah Wanganeen-Milera,MID,SD,8134,8129,8375,241,-5,-5,0,,the 62 edits (gfut cohort),246,year0 bar MID→SD; 2026 col-bar row MID→col SD,4,4,0
Dan Houston,SD,SD,1116,1118,1357,241,2,2,0,,the 62 edits (gfut cohort),239,played-axis/other,215,198,17
Alex Van Wyk,RUCK,RUCK,570,570,332,-238,0,0,0,,,-238,played-axis/other; curve+pool,352,482,-130
Sam Lalor,MID,SF,3867,3866,4102,235,-1,-1,0,,the 62 edits (gfut cohort),236,year0 bar MID→SF; 2026 col-bar row MID→col SF,35,27,8
Connor Budarick,SD,SF,178,178,409,231,0,0,0,,,231,year0 bar SD→SF,604,431,173
Elliot Yeo,MID,SF,86,86,316,230,0,0,0,,,230,year0 bar MID→SF; 2026 col-bar row MID→col SF,684,496,188
Brayden Cook,MID,SF,901,901,1128,227,0,0,0,,,227,year0 bar MID→SF,260,228,32
Nick Daicos,MID,MID,8988,8982,9214,226,-6,-6,0,,the 62 edits (gfut cohort),232,played-axis/other,2,2,0
Joel Freijah,MID,SF,2665,2665,2891,226,0,0,0,,,226,year0 bar MID→SF,72,68,4
Lachie Whitfield,MID,SD,2015,2178,2232,217,163,163,0,present_position: MID→SD,the 62 edits (own row),54,played-axis/other,117,107,10
Harrison Himmelberg,SD,SD,560,561,344,-216,1,1,0,,the 62 edits (gfut cohort),-217,played-axis/other,358,471,-113
Jai Serong,SD,KPD,891,891,1107,216,0,0,0,,,216,year0 bar SD→KPD; 2026 col-bar row MID→col KPD,263,233,30
Luke Jackson,RUCK,RUCK,8521,8521,8735,214,0,0,0,,,214,played-axis/other,3,3,0
Sullivan Robey,MID,SF,2908,2984,3122,214,76,76,0,,the 62 edits (gfut cohort),138,year0 bar MID→SF,65,61,4
Flynn Riley,RUCK,RUCK,578,578,364,-214,0,0,0,,,-214,played-axis/other; curve+pool,347,458,-111
Caleb Windsor,MID,SD,1559,1719,1765,206,160,160,0,,the 62 edits (gfut cohort),46,year0 bar MID→SD; 2026 col-bar row MID→col SD,163,151,12
Lachy Dovaston,SF,SF,859,1038,1061,202,179,179,0,,the 62 edits (gfut cohort),23,played-axis/other,269,239,30
Aiden Riddle,RUCK,RUCK,449,449,255,-194,0,0,0,,,-194,curve+pool,403,544,-141
Joe Pike,RUCK,RUCK,449,449,255,-194,0,0,0,,,-194,curve+pool,405,546,-141
Logan Smith,RUCK,RUCK,445,445,255,-190,0,0,0,,,-190,played-axis/other; curve+pool,406,547,-141
Luke Parker,MID,SD,1485,1631,1670,185,146,146,0,present_position: MID→SD,the 62 edits (own row),39,2026 col-bar row MID→col SD,171,159,12
Max Holmes,MID,MID,7268,7263,7452,184,-5,-5,0,,the 62 edits (gfut cohort),189,2026 col-bar row SD→col MID,5,5,0
Tristan Xerri,RUCK,RUCK,7231,7231,7414,183,0,0,0,,,183,played-axis/other,6,6,0
Jaime Uhr-Henry,RUCK,RUCK,437,437,255,-182,0,0,0,,,-182,played-axis/other; curve+pool,409,545,-136
Liam Reidy,RUCK,KPF,361,361,543,182,0,0,0,,,182,year0 bar RUCK→KPF; curve+pool,458,371,87
Vigo Visentini,RUCK,RUCK,417,417,237,-180,0,0,0,,,-180,curve+pool,418,566,-148
Mattaes Phillipou,MID,SF,2290,2300,2462,172,10,10,0,,the 62 edits (gfut cohort),162,year0 bar MID→SF; 2026 col-bar row MID→col SF,94,91,3
Iliro Smit,RUCK,RUCK,399,399,237,-162,0,0,0,,,-162,played-axis/other; curve+pool,433,565,-132
Zak Butters,MID,MID,6313,6309,6473,160,-4,-4,0,,the 62 edits (gfut cohort),164,played-axis/other,7,7,0
Will Ashcroft,MID,MID,6223,6218,6380,157,-5,-5,0,,the 62 edits (gfut cohort),162,played-axis/other,8,8,0
Daniel Curtin,MID,MID,2452,2550,2609,157,98,98,0,,the 62 edits (gfut cohort),59,played-axis/other,83,79,4
Mitch McGovern,KPF,SF,238,29,85,-153,-209,-210,1,present_position: KPF→SD,the 62 edits (own row),56,year0 bar SD→SF; 2026 col-bar row KPF→col SF,555,691,-136
Bailey Smith,MID,MID,5941,5937,6092,151,-4,-4,0,,the 62 edits (gfut cohort),155,played-axis/other,10,10,0
Lachlan Ash,SD,SD,5534,5544,5682,148,10,10,0,,the 62 edits (gfut cohort),138,played-axis/other,11,11,0
Jhye Clark,MID,SF,782,858,925,143,76,76,0,,the 62 edits (gfut cohort),67,year0 bar MID→SF; 2026 col-bar row MID→col SF,287,265,22
Reuben Ginbey,KPD,SD,2599,2597,2458,-141,-2,-2,0,,the 62 edits (gfut cohort),-139,year0 bar KPD→SD,76,92,-16
Finn Callaghan,MID,MID,5454,5450,5592,138,-4,-4,0,,the 62 edits (gfut cohort),142,played-axis/other,12,12,0
Sam Cumming,MID,MID,2910,2978,3047,137,68,68,0,,the 62 edits (gfut cohort),69,played-axis/other,63,63,0
Will Graham,SF,SF,1590,1639,1727,137,49,49,0,present_position: SF→MID; p_dual_stream: 70.0→90,the 62 edits (own row),88,year0 bar MID→SF; 2026 col-bar row MID→col SF,158,154,4
Errol Gulden,MID,MID,5375,5372,5511,136,-3,-3,0,,the 62 edits (gfut cohort),139,played-axis/other,13,14,-1
Noah Anderson,MID,MID,5125,5122,5257,132,-3,-3,0,,the 62 edits (gfut cohort),135,played-axis/other,15,15,0
Karl Amon,MID,SD,429,547,561,132,118,118,0,present_position: MID→SD,the 62 edits (own row),14,played-axis/other,413,363,50
Jake Lloyd,SD,SF,60,60,191,131,0,0,0,,,131,year0 bar SD→SF; 2026 col-bar row MID→col SF,711,603,108
Josh Treacy,KPF,KPF,6029,6020,6157,128,-9,-9,0,,the 62 edits (gfut cohort),137,played-axis/other,9,9,0
Dyson Sharp,MID,SF,2493,2488,2621,128,-5,-5,0,,the 62 edits (gfut cohort),133,year0 bar MID→SF,80,78,2
Jack Crisp,SD,MID,719,577,592,-127,-142,-142,0,present_position: SD→MID,the 62 edits (own row),15,played-axis/other,302,349,-47
Sam Flanders,MID,SF,2082,2081,2208,126,-1,-1,0,,the 62 edits (gfut cohort),127,year0 bar MID→SF; 2026 col-bar row MID→col SF,110,111,-1
Zeke Uwland,SD,SD,2646,2706,2769,123,60,60,0,future_position: MID→SD; alternate_position: SD→MID,the 62 edits (own row),63,played-axis/other,73,71,2
Mitchell Marsh,KPF,KPF,582,689,705,123,107,0,107,,stage-A v0surf re-bake,16,curve+pool,345,315,30
Josh Daicos,MID,SD,2146,2212,2268,122,66,66,0,present_position: MID→SD,the 62 edits (own row),56,played-axis/other,102,104,-2
Caleb Serong,MID,MID,4691,4687,4811,120,-4,-4,0,,the 62 edits (gfut cohort),124,played-axis/other,18,17,1
Aidan Schubert,KPF,KPF,576,680,696,120,104,0,104,,stage-A v0surf re-bake,16,curve+pool,351,318,33
Tom Green,MID,MID,4565,4563,4682,117,-2,-2,0,,the 62 edits (gfut cohort),119,played-axis/other,19,18,1
Brodie Grundy,RUCK,RUCK,4369,4369,4481,112,0,0,0,,,112,played-axis/other,21,22,-1
Murphy Reid,SF,SF,4193,4208,4305,112,15,15,0,,the 62 edits (gfut cohort),97,played-axis/other,23,23,0
Josh Worrell,KPD,SD,3894,3691,3783,-111,-203,-203,0,present_position: KPD→SD,the 62 edits (own row),92,played-axis/other,33,37,-4
Tyler Sonsie,MID,SF,1074,1074,1184,110,0,0,0,,,110,year0 bar MID→SF,225,216,9
Colby McKercher,MID,SD,3964,3958,4073,109,-6,-6,0,,the 62 edits (gfut cohort),115,year0 bar MID→SD; 2026 col-bar row SF→col SD,28,29,-1
Mark Blicavs,KPD,RUCK,119,6,10,-109,-113,-113,0,present_position: KPD→MID,the 62 edits (own row),4,year0 bar MID→RUCK,643,792,-149
Marcus Bontempelli,MID,MID,4171,4170,4278,107,-1,-1,0,,the 62 edits (gfut cohort),108,played-axis/other,25,25,0
Jake Bowey,SD,SD,3941,3949,4048,107,8,8,0,,the 62 edits (gfut cohort),99,played-axis/other,31,31,0
Nick Blakey,SD,SD,3987,3995,4094,107,8,8,0,,the 62 edits (gfut cohort),99,played-axis/other,27,28,-1
Rory Lobb,KPF,KPD,538,444,431,-107,-94,-94,0,present_position: KPF→KPD,the 62 edits (own row),-13,played-axis/other,370,417,-47
Jai Newcombe,MID,MID,4180,4177,4286,106,-3,-3,0,,the 62 edits (gfut cohort),109,played-axis/other,24,24,0
Dante Visentini,RUCK,KPF,1121,1121,1227,106,0,0,0,,,106,year0 bar RUCK→KPF,214,211,3
Phoenix Gothard,SF,SF,1858,1918,1963,105,60,60,0,,the 62 edits (gfut cohort),45,played-axis/other,135,131,4
Finn O'Sullivan,MID,SD,3345,3345,3449,104,0,0,0,,,104,year0 bar MID→SD,53,51,2
Sam Darcy,KPF,KPF,4827,4818,4929,102,-9,-9,0,,the 62 edits (gfut cohort),111,played-axis/other,17,16,1
Bodhi Uwland,SD,SD,3782,3789,3883,101,7,7,0,,the 62 edits (gfut cohort),94,played-axis/other,36,35,1
Matt Rowell,MID,MID,3945,3942,4046,101,-3,-3,0,,the 62 edits (gfut cohort),104,played-axis/other,30,32,-2
Samuel Grlj,MID,SD,2042,2093,2142,100,51,51,0,,the 62 edits (gfut cohort),49,year0 bar MID→SD,114,118,-4
Oliver Florent,MID,SD,667,751,767,100,84,84,0,present_position: MID→SD,the 62 edits (own row),16,2026 col-bar row MID→col SD,316,297,19
Jordan Clark,SD,SD,3678,3685,3777,99,7,7,0,,the 62 edits (gfut cohort),92,played-axis/other,39,38,1
Daniel Annable,MID,MID,1791,1846,1890,99,55,-1,56,,the 62 edits (gfut cohort),44,played-axis/other; curve+pool,141,138,3
Josh Smillie,MID,MID,1177,1245,1276,99,68,0,68,,stage-A v0surf re-bake,31,curve+pool,202,206,-4
Darcy Wilmot,SD,SD,3642,3649,3739,97,7,7,0,,the 62 edits (gfut cohort),90,played-axis/other,40,40,0
Ed Richards,MID,MID,3749,3747,3845,96,-2,-2,0,,the 62 edits (gfut cohort),98,played-axis/other,37,36,1
Leo Lombard,SF,SF,1508,1566,1603,95,58,58,0,,the 62 edits (gfut cohort),37,played-axis/other,166,167,-1
Mac Andrew,KPD,KPD,3960,3952,4054,94,-8,-8,0,,the 62 edits (gfut cohort),102,played-axis/other,29,30,-1
Timothy English,RUCK,RUCK,3682,3682,3776,94,0,0,0,,,94,played-axis/other,38,39,-1
Dayne Zorko,MID,SD,1156,1220,1250,94,64,64,0,present_position: MID→SD,the 62 edits (own row),30,played-axis/other,205,209,-4
Tanner Bruhn,MID,SD,2122,2118,2214,92,-4,-4,0,,the 62 edits (gfut cohort),96,year0 bar MID→SD,106,109,-3
Sam Berry,MID,MID,3611,3608,3702,91,-3,-3,0,,the 62 edits (gfut cohort),94,played-axis/other,43,42,1
Isaac Heeney,MID,MID,3547,3544,3637,90,-3,-3,0,,the 62 edits (gfut cohort),93,played-axis/other,45,46,-1
Jack Sinclair,SD,SD,3318,3325,3408,90,7,7,0,,the 62 edits (gfut cohort),83,played-axis/other,55,53,2
Stephen Coniglio,MID,SF,165,165,255,90,0,0,0,,,90,year0 bar MID→SF; 2026 col-bar row MID→col SF,616,548,68
Nicholas Martin,MID,SF,3484,3482,3573,89,-2,-2,0,,the 62 edits (gfut cohort),91,year0 bar MID→SF,46,48,-2
Luke Davies-Uniacke,MID,MID,3462,3460,3550,88,-2,-2,0,,the 62 edits (gfut cohort),90,played-axis/other,47,49,-2
Jordan Dawson,MID,MID,3414,3412,3502,88,-2,-2,0,,the 62 edits (gfut cohort),90,played-axis/other,49,50,-1
Riley Thilthorpe,KPF,KPF,4077,4070,4164,87,-7,-7,0,,the 62 edits (gfut cohort),94,played-axis/other,26,26,0
Beau Addinsall,MID,MID,1407,1291,1321,-86,-116,-116,0,,the 62 edits (gfut cohort),30,played-axis/other,181,202,-21
Callum Wilkie,KPD,KPD,3614,3606,3699,85,-8,-8,0,,the 62 edits (gfut cohort),93,played-axis/other,42,43,-1
Harley Reid,MID,MID,3578,3575,3663,85,-3,-3,0,,the 62 edits (gfut cohort),88,played-axis/other,44,45,-1
Marcus Windhager,MID,SD,2105,2105,2189,84,0,0,0,,,84,year0 bar MID→SD; 2026 col-bar row MID→col SD,108,114,-6
Max Gawn,RUCK,RUCK,3343,3343,3426,83,0,0,0,,,83,played-axis/other,54,52,2
Marcus Herbert,SD,MID,920,922,837,-83,2,2,0,,the 62 edits (gfut cohort),-85,year0 bar SD→MID,257,282,-25
Willem Duursma,MID,MID,4416,4414,4498,82,-2,-2,0,,the 62 edits (gfut cohort),84,played-axis/other,20,21,-1
Sam Walsh,MID,MID,3214,3212,3296,82,-2,-2,0,,the 62 edits (gfut cohort),84,played-axis/other,56,56,0
Daniel Rioli,SD,SD,726,728,808,82,2,2,0,,the 62 edits (gfut cohort),80,played-axis/other,299,287,12
Andrew Brayshaw,MID,MID,3107,3104,3187,80,-3,-3,0,,the 62 edits (gfut cohort),83,played-axis/other,59,59,0
Max Heath,RUCK,KPF,641,641,720,79,0,0,0,,,79,year0 bar RUCK→KPF,324,310,14
Sam Wicks,SF,SD,103,27,27,-76,-76,-76,0,present_position: SF→SD,the 62 edits (own row),0,,658,769,-111
Logan Morris,KPF,KPF,3084,3086,3158,74,2,2,0,,the 62 edits (gfut cohort),72,played-axis/other,60,60,0
Connor Rozee,MID,SD,2857,2855,2930,73,-2,-2,0,,the 62 edits (gfut cohort),75,year0 bar MID→SD,67,67,0
Nick Watson,SF,SF,3638,3625,3710,72,-13,-13,0,,the 62 edits (gfut cohort),85,played-axis/other,41,41,0
Noah Mraz,KPD,KPD,3934,3938,4006,72,4,5,-1,,the 62 edits (gfut cohort),68,played-axis/other; curve+pool,32,33,-1
Hugo Garcia,MID,MID,2966,2963,3038,72,-3,-3,0,,the 62 edits (gfut cohort),75,played-axis/other,62,64,-2
James Jordon,MID,SF,164,164,236,72,0,0,0,,,72,year0 bar MID→SF; 2026 col-bar row MID→col SF,617,567,50
Kysaiah Pickett,SF,SF,3872,3854,3943,71,-18,-18,0,,the 62 edits (gfut cohort),89,played-axis/other,34,34,0
Will Day,MID,MID,2895,2891,2966,71,-4,-4,0,,the 62 edits (gfut cohort),75,played-axis/other,66,66,0
Zachary Merrett,MID,MID,2752,2750,2823,71,-2,-2,0,,the 62 edits (gfut cohort),73,played-axis/other,70,70,0
Bailey Humphrey,SF,SF,2324,2250,2394,70,-74,-74,0,present_position: SF→MID,the 62 edits (own row),144,year0 bar MID→SF,91,95,-4
Archie Ludowyke,KPF,KPF,364,425,434,70,61,0,61,,stage-A v0surf re-bake,9,curve+pool,454,415,39
Tom Cole,SD,SF,33,30,102,69,-3,0,-3,,stage-A v0surf re-bake,72,year0 bar SD→SF,760,665,95
Zac McCarthy,KPF,KPF,354,412,422,68,58,0,58,,stage-A v0surf re-bake,10,curve+pool,464,422,42
Matt Cottrell,MID,SF,48,48,116,68,0,0,0,,,68,year0 bar MID→SF,726,648,78
Clayton Oliver,MID,MID,2569,2567,2636,67,-2,-2,0,,the 62 edits (gfut cohort),69,played-axis/other,77,77,0
Taj Hotton,MID,SF,2178,2152,2245,67,-26,-26,0,,the 62 edits (gfut cohort),93,year0 bar MID→SF,99,106,-7
Connor O'Sullivan,KPD,KPD,2908,2913,2974,66,5,5,0,,the 62 edits (gfut cohort),61,played-axis/other,64,65,-1
Connor Idun,SD,SD,2424,2429,2490,66,5,5,0,,the 62 edits (gfut cohort),61,played-axis/other,87,87,0
Koltyn Tholstrup,SD,SF,1605,1560,1671,66,-45,-45,0,,the 62 edits (gfut cohort),111,year0 bar SD→SF,154,158,-4
Darcy Jones,SF,SF,1428,1460,1494,66,32,32,0,,the 62 edits (gfut cohort),34,played-axis/other,180,177,3
Jordon Sweet,RUCK,RUCK,2511,2511,2576,65,0,0,0,,,65,played-axis/other,78,81,-3
Kieren Briggs,RUCK,RUCK,2480,2480,2544,64,0,0,0,,,64,played-axis/other,81,83,-2
Jake Rogers,SF,SF,583,633,647,64,50,50,0,,the 62 edits (gfut cohort),14,played-axis/other,344,330,14
George Wardlaw,MID,MID,3152,3148,3215,63,-4,-4,0,,the 62 edits (gfut cohort),67,played-axis/other,57,57,0
Bailey Dale,SD,SD,2376,2379,2439,63,3,3,0,,the 62 edits (gfut cohort),60,played-axis/other,90,94,-4
Cameron Mackenzie,MID,MID,2001,2016,2064,63,15,15,0,,the 62 edits (gfut cohort),48,played-axis/other,121,123,-2
Tim Taranto,MID,MID,2403,2401,2465,62,-2,-2,0,,the 62 edits (gfut cohort),64,played-axis/other,88,89,-1
Jaspa Fletcher,SD,SD,2622,2622,2683,61,0,0,0,,,61,played-axis/other,75,75,0
Wayne Milera,SD,SD,1942,1946,2003,61,4,4,0,,the 62 edits (gfut cohort),57,played-axis/other,125,128,-3
Xavier Lindsay,SD,SD,2123,2131,2184,61,8,8,0,present_position: SD→MID,the 62 edits (own row),53,year0 bar MID→SD; 2026 col-bar row MID→col SD,105,115,-10
Lewis Young,KPD,KPF,178,178,239,61,0,0,0,,,61,year0 bar KPD→KPF; 2026 col-bar row KPD→col KPF,605,563,42
Charlie Nicholls,KPF,KPF,314,365,373,59,51,0,51,,stage-A v0surf re-bake,8,curve+pool,492,451,41
Jack Henry,KPD,KPF,251,251,310,59,0,0,0,,,59,year0 bar KPD→KPF; 2026 col-bar row KPD→col KPF,542,499,43
Darcy Wilson,SF,SF,3349,3330,3407,58,-19,-19,0,,the 62 edits (gfut cohort),77,played-axis/other,51,54,-3
Harry Dean,KPD,KPD,2509,2509,2567,58,0,0,0,,,58,played-axis/other,79,82,-3
Zac Bailey,SF,SF,3149,3134,3207,58,-15,-15,0,,the 62 edits (gfut cohort),73,played-axis/other,58,58,0
Lachie Neale,MID,MID,2295,2293,2353,58,-2,-2,0,,the 62 edits (gfut cohort),60,played-axis/other,93,98,-5
John Noble,SD,SD,2143,2147,2201,58,4,4,0,,the 62 edits (gfut cohort),54,played-axis/other,103,112,-9
Levi Ashcroft,MID,MID,3348,3327,3405,57,-21,-21,0,,the 62 edits (gfut cohort),78,played-axis/other,52,55,-3
Izak Rankine,SF,SF,3006,2992,3063,57,-14,-14,0,,the 62 edits (gfut cohort),71,played-axis/other,61,62,-1
Jase Burgoyne,SD,SD,2224,2228,2281,57,4,4,0,,the 62 edits (gfut cohort),53,played-axis/other,98,101,-3
Jonty Faull,KPF,KPF,1198,1227,1255,57,29,29,0,,the 62 edits (gfut cohort),28,played-axis/other,199,208,-9
Archer Day-Wicks,SF,SF,484,528,541,57,44,44,0,,the 62 edits (gfut cohort),13,2026 col-bar row MID→col SF,390,372,18
Chayce Jones,SD,SD,110,52,53,-57,-58,-57,-1,future_position: MID→SD,the 62 edits (own row),1,2026 col-bar row MID→col SD; curve+pool,652,722,-70
Cooper Duff-Tytler,KPF,KPF,1582,1601,1638,56,19,19,0,,the 62 edits (gfut cohort),37,played-axis/other,159,161,-2
Kayle Gerreyn,KPF,RUCK,289,337,345,56,48,0,48,,stage-A v0surf re-bake,8,year0 bar KPF→RUCK; curve+pool,514,470,44
Toby Nankervis,RUCK,RUCK,2142,2142,2197,55,0,0,0,,,55,played-axis/other,104,113,-9
Sid Draper,MID,SF,1150,1148,1204,54,-2,-2,0,,the 62 edits (gfut cohort),56,year0 bar MID→SF,206,214,-8
Louis Emmett,RUCK,RUCK,916,948,970,54,32,32,0,present_position: RUCK→KPF,the 62 edits (own row),22,year0 bar KPF→RUCK,258,258,0
Adam Sweid,SF,MID,545,584,598,53,39,0,39,,stage-A v0surf re-bake,14,year0 bar SF→MID; curve+pool,363,347,16
Noah Balta,KPD,KPF,516,556,569,53,40,40,0,present_position: KPD→KPF,the 62 edits (own row),13,played-axis/other,379,358,21
Deven Robertson,MID,SF,194,195,247,53,1,1,0,,the 62 edits (gfut cohort),52,year0 bar MID→SF; 2026 col-bar row MID→col SF,589,556,33
Connor MacDonald,SF,SF,2817,2804,2869,52,-13,-13,0,,the 62 edits (gfut cohort),65,played-axis/other,69,69,0
Jacob Van Rooyen,KPF,KPF,1899,1906,1951,52,7,7,0,,the 62 edits (gfut cohort),45,played-axis/other,131,133,-2
Matt Carroll,MID,SD,956,984,1007,51,28,28,0,,the 62 edits (gfut cohort),23,year0 bar MID→SD; 2026 col-bar row MID→col SD,247,253,-6
Tom De Koning,RUCK,RUCK,2028,2028,2078,50,0,0,0,,,50,played-axis/other,115,121,-6
Latrelle Pickett,SF,SF,580,616,630,50,36,36,0,,the 62 edits (gfut cohort),14,played-axis/other,346,337,9
Cooper Trembath,KPF,KPF,2090,2091,2140,50,1,1,0,,the 62 edits (gfut cohort),49,played-axis/other,109,119,-10
Patrick Voss,KPF,KPF,1791,1799,1841,50,8,8,0,,the 62 edits (gfut cohort),42,played-axis/other,142,143,-1
Oliver Hannaford,SF,MID,413,454,463,50,41,41,0,,the 62 edits (gfut cohort),9,year0 bar SF→MID; 2026 col-bar row SF→col MID,423,405,18
Harvey Thomas,SF,SF,2167,1973,2217,50,-194,-194,0,present_position: SF→MID,the 62 edits (own row),244,year0 bar MID→SF; 2026 col-bar row MID→col SF,101,108,-7
Thomas Matthews,SF,SF,501,538,551,50,37,0,37,,stage-A v0surf re-bake,13,curve+pool,383,367,16
Shannon Neale,KPF,KPF,2308,2304,2357,49,-4,-4,0,,the 62 edits (gfut cohort),53,played-axis/other,92,97,-5
James Sicily,SD,SD,1861,1863,1910,49,2,2,0,,the 62 edits (gfut cohort),47,played-axis/other,134,137,-3
George Hewett,MID,MID,1888,1887,1937,49,-1,-1,0,,the 62 edits (gfut cohort),50,played-axis/other,133,134,-1
Kane McAuliffe,MID,MID,1357,1374,1406,49,17,17,0,,the 62 edits (gfut cohort),32,played-axis/other,189,191,-2
Jack Silvagni,KPF,KPD,954,883,906,-48,-71,-71,0,present_position: KPF→KPD,the 62 edits (own row),23,played-axis/other,248,268,-20
Kalani White,KPF,KPF,398,435,446,48,37,37,0,,the 62 edits (gfut cohort),11,played-axis/other,435,413,22
