# IMPORTED AT store b0c39d78 -> 340a7a32 (branch claude/store-identity-job-v2-9-kuers3, 2026-07-13, item 20 store-identity job); NOT A SOURCE — do not read as current. The store (engine/rl_after/rl_model_data.json) is the SOLE carrier of every club, ID and eligibility. Raw pre-normalization eligibilities + legacy_afl_club are preserved HERE for recovery only. SSI: stamped, read-only, disposable.
source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json
345,afl-player-v1-3d6217d573e09fb1f436,beau-addinsall,Beau Addinsall,Fremantle Dockers,MID,Beau Addinsall,Gold Coast,MID,"{""birth_date"":""2007-03-09"",""birth_year"":2007,""draft_pick"":18,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""beau-addinsall""}"
734,afl-player-v1-a5a788fcc3dc14ff1091,beau-mccreery,Beau McCreery,West Coast Eagles,G-FWD,Beau McCreery,Collingwood,G-FWD,"{""birth_date"":""2001-04-19"",""birth_year"":2001,""draft_pick"":46,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""beau-mccreery""}"
59,afl-player-v1-f5edc99c62076d254cd1,ben-ainsworth,Ben Ainsworth,Brisbane Lions,G-FWD,Ben Ainsworth,Carlton,G-FWD,"{""birth_date"":""1998-02-10"",""birth_year"":1998,""draft_pick"":4,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""ben-ainsworth""}"
314,afl-player-v1-dbc852c795d95f09852a,ben-camporeale,Ben Camporeale,Fremantle Dockers,MID,Ben Camporeale,Carlton,MID,"{""birth_date"":""2006-07-21"",""birth_year"":2006,""draft_pick"":43,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""ben-camporeale""}"
264,afl-player-v1-1bc1a35b5acb7c659494,ben-jepson,Ben Jepson,Free agents,MID,Ben Jepson,Gold Coast,MID,"{""birth_date"":""2001-10-10"",""birth_year"":2001,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2024,""legacy_key"":""ben-jepson""}"
20,afl-player-v1-ab1876e3a4f81af563e6,ben-keays,Ben Keays,Adelaide Crows,G-FWD,Ben Keays,Adelaide,G-FWD,"{""birth_date"":""1997-02-23"",""birth_year"":1997,""draft_pick"":24,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""ben-keays""}"
673,afl-player-v1-8aa63d4c934e87e4fb62,ben-king,Ben King,Sydney Swans,"G-FWD,K-FWD",Ben King,Gold Coast,K-FWD,"{""birth_date"":""2000-07-07"",""birth_year"":2000,""draft_pick"":6,""draft_type"":""ND"",""draft_year"":2018,""legacy_key"":""ben-king""}"
601,afl-player-v1-f11e474abd2b99b6d2f8,ben-long,Ben Long,Richmond Tigers,G-FWD,Ben Long,Gold Coast,G-FWD,"{""birth_date"":""1997-08-21"",""birth_year"":1997,""draft_pick"":25,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""ben-long""}"
752,afl-player-v1-fa34fb409dec46427a9a,ben-mckay,Ben McKay,West Coast Eagles,"G-DEF,K-DEF",Ben McKay,Essendon,K-DEF,"{""birth_date"":""1997-12-24"",""birth_year"":1997,""draft_pick"":21,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""ben-mckay""}"
687,afl-player-v1-b75b9dd65a15a8ffab49,ben-miller,Ben Miller,Sydney Swans,"G-DEF,K-DEF",Ben Miller,Richmond,K-DEF,"{""birth_date"":""1999-08-31"",""birth_year"":1999,""draft_pick"":62,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""ben-miller""}"
504,afl-player-v1-fc90df145520acd22b04,ben-murphy,Ben Murphy,North Melbourne Kangaroos,G-DEF,Ben Murphy,Brisbane,G-DEF,"{""birth_date"":""2007-02-01"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2025,""legacy_key"":""ben-murphy""}"
236,afl-player-v1-26c7d23e3f5fff92763f,benny-barrett,Benny Barrett,Free agents,G-FWD,Benny Barrett,Port Adelaide,G-FWD,"{""birth_date"":""2006-05-01"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2024,""legacy_key"":""benny-barrett""}"
219,afl-player-v1-db88060ca4ea6c950bdf,billy-cootee,Billy Cootee,Essendon Bombers,MID,Billy Cootee,Sydney,MID,"{""birth_date"":""2002-12-18"",""birth_year"":2002,""draft_pick"":42,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""billy-cootee""}"
190,afl-player-v1-d72d04026b85e58dfc06,billy-dowling,Billy Dowling,Essendon Bombers,"MID,G-FWD",Billy Dowling,Adelaide,G-FWD,"{""birth_date"":""2004-07-01"",""birth_year"":2004,""draft_pick"":43,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""billy-dowling""}"
57,afl-player-v1-88cc3d546296baa70767,billy-frampton,Billy Frampton,Brisbane Lions,"G-DEF,K-DEF",Billy Frampton,Collingwood,K-DEF,"{""birth_date"":""1996-11-20"",""birth_year"":1996,""draft_pick"":74,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""billy-frampton""}"
93,afl-player-v1-ba2b5f134d7209c2cd1f,billy-wilson,Billy Wilson,Western Bulldogs,G-DEF,Billy Wilson,Carlton,G-DEF,"{""birth_date"":""2005-06-16"",""birth_year"":2005,""draft_pick"":34,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""billy-wilson""}"
60,afl-player-v1-af797315ad896038d6ad,blake-acres,Blake Acres,Brisbane Lions,MID,Blake Acres,Carlton,MID,"{""birth_date"":""1995-10-07"",""birth_year"":1995,""draft_pick"":19,""draft_type"":""ND"",""draft_year"":2013,""legacy_key"":""blake-acres""}"
550,afl-player-v1-2d0be16a32b077bf822a,blake-hardwick,Blake Hardwick,Port Adelaide Power,G-DEF,Blake Hardwick,Hawthorn,G-DEF,"{""birth_date"":""1997-02-05"",""birth_year"":1997,""draft_pick"":44,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""blake-hardwick""}"
225,afl-player-v1-52bf1280cafc930a8d62,blake-howes,Blake Howes,Essendon Bombers,G-DEF,Blake Howes,Melbourne,G-DEF,"{""birth_date"":""2003-04-07"",""birth_year"":2003,""draft_pick"":39,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""blake-howes""}"
335,afl-player-v1-df6adfebbf5e3baac9a4,blake-thredgold,Blake Thredgold,Fremantle Dockers,"G-DEF,K-DEF",Blake Thredgold,North Melbourne,K-DEF,"{""birth_date"":""2007-08-27"",""birth_year"":2007,""draft_pick"":26,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""blake-thredgold""}"
462,afl-player-v1-2dd3ccd0e1b4dff6e11a,bo-allan,Bo Allan,Melbourne Demons,"G-DEF,MID",Bo Allan,West Coast,G-DEF,"{""birth_date"":""2006-02-16"",""birth_year"":2006,""draft_pick"":16,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""bo-allan""}"
193,afl-player-v1-530b7fcbfe22f330e3c4,bobby-hill,Bobby Hill,West Coast Eagles,G-FWD,Bobby Hill,Collingwood,G-FWD,"{""birth_date"":""2000-02-09"",""birth_year"":2000,""draft_pick"":24,""draft_type"":""ND"",""draft_year"":2018,""legacy_key"":""bobby-hill""}"
548,afl-player-v1-53cf9ea07c8d23470b27,bodhi-uwland,Bodhi Uwland,Port Adelaide Power,G-DEF,Bodhi Uwland,Gold Coast,G-DEF,"{""birth_date"":""2003-07-25"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2021,""legacy_key"":""bodhi-uwland""}"
159,afl-player-v1-2c0d507e861806b4e2b5,bodie-ryan,Bodie Ryan,Collingwood Magpies,G-DEF,Bodie Ryan,Hawthorn,G-DEF,"{""birth_date"":""2005-04-20"",""birth_year"":2005,""draft_pick"":46,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""bodie-ryan""}"
378,afl-player-v1-003e4d5d62024af040e6,bradley-close,Bradley Close,Geelong Cats,G-FWD,Bradley Close,Geelong,G-FWD,"{""birth_date"":""1998-07-30"",""birth_year"":1998,""draft_pick"":10,""draft_type"":""RD"",""draft_year"":2019,""legacy_key"":""bradley-close""}"
549,afl-player-v1-1d780d19cc3efbbf3552,bradley-hill,Bradley Hill,Port Adelaide Power,"MID,G-FWD",Bradley Hill,St Kilda,G-FWD,"{""birth_date"":""1993-07-09"",""birth_year"":1993,""draft_pick"":45,""draft_type"":""ND"",""draft_year"":2011,""legacy_key"":""bradley-hill""}"
215,afl-player-v1-819de384d7f62bc800da,brady-hough,Brady Hough,Essendon Bombers,"G-DEF,MID",Brady Hough,West Coast,G-DEF,"{""birth_date"":""2003-03-05"",""birth_year"":2003,""draft_pick"":31,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""brady-hough""}"
221,afl-player-v1-f0d7b341f83d6023fd8b,braeden-campbell,Braeden Campbell,Essendon Bombers,G-FWD,Braeden Campbell,Sydney,G-DEF,"{""birth_date"":""2002-02-04"",""birth_year"":2002,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""braeden-campbell""}"
479,afl-player-v1-569d8308f325f3ed09a1,brandon-starcevich,Brandon Starcevich,Melbourne Demons,G-DEF,Brandon Starcevich,Brisbane,G-DEF,"{""birth_date"":""1999-07-24"",""birth_year"":1999,""draft_pick"":18,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""brandon-starcevich""}"
556,afl-player-v1-e36fc9a752bdb05af645,brandon-walker,Brandon Walker,Port Adelaide Power,G-DEF,Brandon Walker,Fremantle,G-DEF,"{""birth_date"":""2002-10-17"",""birth_year"":2002,""draft_pick"":52,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""brandon-walker""}"
301,afl-player-v1-43045f12f382767201cd,brandon-zerk-thatcher,Brandon Zerk-Thatcher,Free agents,"K-DEF,G-DEF",Brandon Zerk-Thatcher,Essendon,K-DEF,"{""birth_date"":""1998-08-25"",""birth_year"":1998,""draft_pick"":65,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""brandon-zerk-thatcher""}"
491,afl-player-v1-e92e7da190d06a68ff04,brayden-cook,Brayden Cook,North Melbourne Kangaroos,"MID,G-FWD",Brayden Cook,Adelaide,MID,"{""birth_date"":""2002-07-18"",""birth_year"":2002,""draft_pick"":26,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""brayden-cook""}"
79,afl-player-v1-7a92c744fa1e8422082f,brayden-fiorini,Brayden Fiorini,Brisbane Lions,MID,Brayden Fiorini,Essendon,MID,"{""birth_date"":""1997-08-22"",""birth_year"":1997,""draft_pick"":20,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""brayden-fiorini""}"
586,afl-player-v1-36e1c724da662172668d,brayden-george,Brayden George,Richmond Tigers,G-FWD,Brayden George,North Melbourne,G-FWD,"{""birth_date"":""2004-01-13"",""birth_year"":2004,""draft_pick"":26,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""brayden-george""}"
489,afl-player-v1-d6d2fe7a40a3a6ef7cf0,brayden-maynard,Brayden Maynard,North Melbourne Kangaroos,G-DEF,Brayden Maynard,Collingwood,G-DEF,"{""birth_date"":""1996-09-20"",""birth_year"":1996,""draft_pick"":30,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""brayden-maynard""}"
685,afl-player-v1-445f7f59f6834b843fec,brennan-cox,Brennan Cox,Sydney Swans,"G-DEF,K-DEF",Brennan Cox,Fremantle,K-DEF,"{""birth_date"":""1998-08-13"",""birth_year"":1998,""draft_pick"":41,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""brennan-cox""}"
759,afl-player-v1-da6f8389b5a659e1eabe,brent-daniels,Brent Daniels,Essendon Bombers,"G-FWD,MID",Brent Daniels,GWS,G-FWD,"{""birth_date"":""1999-03-09"",""birth_year"":1999,""draft_pick"":27,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""brent-daniels""}"
626,afl-player-v1-a0d344b6a9014eca92e7,brodie-grundy,Brodie Grundy,St Kilda Saints,RUCK,Brodie Grundy,Sydney,RUCK,"{""birth_date"":""1994-04-15"",""birth_year"":1994,""draft_pick"":22,""draft_type"":""ND"",""draft_year"":2012,""legacy_key"":""brodie-grundy""}"
382,afl-player-v1-8206dd775d932c66ff19,brodie-kemp,Brodie Kemp,Geelong Cats,"G-FWD,K-FWD",Brodie Kemp,Carlton,K-FWD,"{""birth_date"":""2001-05-01"",""birth_year"":2001,""draft_pick"":17,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""brodie-kemp""}"
